regn_no,semester,GP,SGPA,CGPA,EAA
2211155,1,100.0,3.93,,Satisfactory
2211156,1,0.0,1.18,,Satisfactory
2311001,1,188.0,6.71,,Satisfactory
2311002,1,131.0,4.68,,Satisfactory
2311003,1,157.0,5.61,,Satisfactory
2311004,1,163.0,5.82,,Satisfactory
2311005,1,161.0,5.75,,Satisfactory
2311006,1,0.0,0.0,,Satisfactory
2311007,1,159.0,5.68,,Satisfactory
2311008,1,170.0,6.07,,Satisfactory
2311009,1,167.0,5.96,,Satisfactory
2311010,1,205.0,7.32,,Satisfactory
2311011,1,202.0,7.21,,Satisfactory
2311012,1,173.0,6.18,,Satisfactory
2311013,1,203.0,7.25,,Satisfactory
2311014,1,201.0,7.18,,Satisfactory
2311015,1,124.0,4.43,,Satisfactory
2311017,1,202.0,7.21,,Satisfactory
2311018,1,230.0,8.21,,Satisfactory
2311019,1,177.0,6.32,,Satisfactory
2311020,1,217.0,7.75,,Satisfactory
2311021,1,159.0,5.68,,Satisfactory
2311022,1,212.0,7.57,,Satisfactory
2311023,1,156.0,5.57,,Satisfactory
2311024,1,186.0,6.64,,Satisfactory
2311025,1,102.0,3.64,,Satisfactory
2311026,1,223.0,7.96,,Satisfactory
2311027,1,238.0,8.5,,Satisfactory
2311028,1,232.0,8.29,,Satisfactory
2311029,1,217.0,7.75,,Satisfactory
2311030,1,133.0,4.75,,Satisfactory
2311031,1,251.0,8.96,,Satisfactory
2311032,1,217.0,7.75,,Satisfactory
2311033,1,245.0,8.75,,Satisfactory
2311034,1,204.0,7.29,,Satisfactory
2311035,1,198.0,7.07,,Satisfactory
2311036,1,213.0,7.61,,Satisfactory
2311037,1,221.0,7.89,,Satisfactory
2311038,1,239.0,8.54,,Satisfactory
2311039,1,164.0,5.86,,Satisfactory
2311040,1,122.0,4.36,,Satisfactory
2311041,1,221.0,7.89,,Satisfactory
2311042,1,196.0,7.0,,Satisfactory
2311043,1,205.0,7.32,,Satisfactory
2311044,1,168.0,6.0,,Satisfactory
2311045,1,105.0,3.75,,Satisfactory
2311046,1,235.0,8.39,,Satisfactory
2311047,1,162.0,5.79,,Satisfactory
2311048,1,201.0,7.18,,Satisfactory
2311049,1,130.0,4.64,,Satisfactory
2311050,1,179.0,6.39,,Satisfactory
2311051,1,151.0,5.39,,Satisfactory
2311052,1,176.0,6.29,,Satisfactory
2311053,1,142.0,5.07,,Satisfactory
2311054,1,180.0,6.43,,Satisfactory
2311055,1,186.0,6.64,,Satisfactory
2311056,1,200.0,7.14,,Satisfactory
2311057,1,178.0,6.36,,Satisfactory
2311058,1,0.0,0.0,,Satisfactory
2311059,1,172.0,6.14,,Satisfactory
2311060,1,187.0,6.68,,Satisfactory
2311061,1,213.0,7.61,,Satisfactory
2311062,1,224.0,8.0,,Satisfactory
2311063,1,207.0,7.39,,Satisfactory
2311064,1,170.0,6.07,,Satisfactory
2311065,1,161.0,5.75,,Satisfactory
2311066,1,197.0,7.04,,Satisfactory
2311067,1,182.0,6.5,,Satisfactory
2311068,1,223.0,7.96,,Satisfactory
2311069,1,173.0,6.18,,Satisfactory
2311070,1,226.0,8.07,,Satisfactory
2311071,1,164.0,5.86,,Satisfactory
2311072,1,211.0,7.54,,Satisfactory
2311073,1,206.0,7.36,,Satisfactory
2311074,1,181.0,6.46,,Satisfactory
2311075,1,170.0,6.07,,Satisfactory
2311076,1,139.0,4.96,,Satisfactory
2311077,1,195.0,6.96,,Satisfactory
2311078,1,206.0,7.36,,Satisfactory
2311079,1,231.0,8.25,,Satisfactory
2311080,1,179.0,6.39,,Satisfactory
2311081,1,152.0,5.43,,Satisfactory
2311082,1,197.0,7.04,,Satisfactory
2311083,1,163.0,5.82,,Satisfactory
2311084,1,188.0,6.71,,Satisfactory
2311085,1,143.0,5.11,,Satisfactory
2311086,1,168.0,6.0,,Satisfactory
2311087,1,153.0,5.46,,Satisfactory
