regn_no,semester,GP,SGPA,CGPA,EAA
2311001,3,235.0,8.7,7.98,Satisfactory
2311002,3,124.0,4.59,4.83,Satisfactory
2311003,3,127.0,4.7,5.28,Satisfactory
2311004,3,135.0,5.0,5.61,Satisfactory
2311005,3,199.0,7.37,7.09,Satisfactory
2311006,3,156.0,5.78,3.83,Satisfactory
2311007,3,173.0,6.41,6.05,Satisfactory
2311008,3,225.0,8.33,6.93,Satisfactory
2311009,3,172.0,6.37,6.34,Satisfactory
2311010,3,226.0,8.37,8.13,Satisfactory
2311011,3,223.0,8.26,7.85,Satisfactory
2311012,3,222.0,8.22,7.61,Satisfactory
2311013,3,214.0,7.93,7.52,Satisfactory
2311014,3,224.0,8.3,7.77,Satisfactory
2311015,3,140.0,5.19,5.22,Satisfactory
2311016,3,0.0,0.0,0.0,Satisfactory
2311017,3,216.0,8.0,7.55,Satisfactory
2311018,3,235.0,8.7,8.45,Satisfactory
2311019,3,206.0,7.63,7.0,Satisfactory
2311020,3,250.0,9.26,8.46,Satisfactory
2311021,3,149.0,5.52,5.8,Satisfactory
2311022,3,225.0,8.33,7.94,Satisfactory
2311023,3,208.0,7.7,6.55,Satisfactory
2311024,3,201.0,7.44,7.21,Satisfactory
2311025,3,103.0,3.81,4.26,Satisfactory
2311026,3,249.0,9.22,8.5,Satisfactory
2311027,3,251.0,9.3,8.84,Satisfactory
2311028,3,237.0,8.78,8.59,Satisfactory
2311029,3,238.0,8.81,8.07,Satisfactory
2311030,3,181.0,6.7,6.09,Satisfactory
2311032,3,229.0,8.48,8.11,Satisfactory
2311034,3,233.0,8.63,8.0,Satisfactory
2311035,3,223.0,8.26,7.57,Satisfactory
2311036,3,218.0,8.07,7.77,Satisfactory
2311037,3,234.0,8.67,8.17,Satisfactory
2311038,3,255.0,9.44,8.9,Satisfactory
2311039,3,166.0,6.15,6.33,Satisfactory
2311040,3,118.0,4.37,4.63,Satisfactory
2311042,3,189.0,7.0,6.91,Satisfactory
2311043,3,210.0,7.78,7.35,Satisfactory
2311044,3,203.0,7.52,6.77,Satisfactory
2311045,3,106.0,3.93,4.35,Satisfactory
2311047,3,197.0,7.3,6.35,Satisfactory
2311048,3,216.0,8.0,7.89,Satisfactory
2311049,3,161.0,5.96,5.51,Satisfactory
2311050,3,204.0,7.56,6.96,Satisfactory
2311051,3,200.0,7.41,6.3,Satisfactory
2311052,3,203.0,7.52,7.09,Satisfactory
2311053,3,176.0,6.52,5.94,Satisfactory
2311054,3,221.0,8.19,7.27,Satisfactory
2311055,3,222.0,8.22,7.43,Satisfactory
2311056,3,203.0,7.52,7.44,Satisfactory
2311057,3,210.0,7.78,7.23,Satisfactory
2311059,3,229.0,8.48,7.34,Satisfactory
2311060,3,229.0,8.48,7.85,Satisfactory
2311061,3,201.0,7.44,7.77,Satisfactory
2311062,3,230.0,8.52,8.16,Satisfactory
2311063,3,237.0,8.78,8.15,Satisfactory
2311064,3,207.0,7.67,7.11,Satisfactory
2311065,3,168.0,6.22,6.01,Satisfactory
2311066,3,234.0,8.67,7.74,Satisfactory
2311067,3,186.0,6.89,6.65,Satisfactory
2311069,3,178.0,6.59,6.26,Satisfactory
2311070,3,233.0,8.63,8.45,Satisfactory
2311071,3,210.0,7.78,7.29,Satisfactory
2311072,3,237.0,8.78,8.13,Satisfactory
2311073,3,213.0,7.89,7.68,Satisfactory
2311074,3,219.0,8.11,7.24,Satisfactory
2311075,3,212.0,7.85,6.98,Satisfactory
2311076,3,176.0,6.52,6.35,Satisfactory
2311077,3,226.0,8.37,7.66,Satisfactory
2311078,3,221.0,8.19,7.73,Satisfactory
2311079,3,245.0,9.07,8.61,Satisfactory
2311080,3,219.0,8.11,7.78,Satisfactory
2311081,3,208.0,7.7,6.45,Satisfactory
2311082,3,235.0,8.7,7.68,Satisfactory
2311083,3,202.0,7.48,6.76,Satisfactory
2311084,3,216.0,8.0,7.46,Satisfactory
2311085,3,206.0,7.63,6.27,Satisfactory
2311086,3,193.0,7.15,6.68,Satisfactory
2311087,3,180.0,6.67,6.02,Satisfactory
2311088,3,177.0,6.56,5.66,Satisfactory
2311089,3,138.0,5.11,5.71,Satisfactory
2311090,3,119.0,4.41,3.85,Satisfactory
2311091,3,163.0,6.04,5.61,Satisfactory
2311092,3,213.0,7.89,7.91,Satisfactory
2311093,3,193.0,7.15,6.63,Satisfactory
2311094,3,241.0,8.93,8.32,Satisfactory
2311095,3,212.0,7.85,6.82,Satisfactory
2311096,3,229.0,8.48,7.54,Satisfactory
2311097,3,112.0,4.15,3.99,Satisfactory
2311098,3,211.0,7.81,7.37,Satisfactory
2311100,3,233.0,8.63,7.88,Satisfactory
2311101,3,246.0,9.11,7.91,Satisfactory
2311102,3,179.0,6.63,6.37,Satisfactory
2311103,3,188.0,6.96,7.27,Satisfactory
2311104,3,242.0,8.96,7.9,Satisfactory
2311106,3,228.0,8.44,7.61,Satisfactory
2311107,3,234.0,8.67,7.22,Satisfactory
2311108,3,242.0,8.96,8.04,Satisfactory
2311109,3,161.0,5.96,5.7,Satisfactory
2311110,3,158.0,6.87,7.12,Satisfactory
2311111,3,169.0,6.26,5.89,Satisfactory
2311112,3,170.0,6.3,5.56,Satisfactory
2311113,3,233.0,8.63,7.23,Satisfactory
2311114,3,163.0,6.04,5.1,Satisfactory
2311115,3,104.0,3.85,3.44,Satisfactory
2311116,3,177.0,6.56,6.22,Satisfactory
2311117,3,220.0,8.15,6.95,Satisfactory
2311118,3,168.0,6.22,5.82,Satisfactory
2311119,3,249.0,9.22,8.3,Satisfactory
2311120,3,243.0,9.0,7.9,Satisfactory
2311121,3,214.0,7.93,7.51,Satisfactory
2311122,3,219.0,8.11,6.73,Satisfactory
2311123,3,199.0,7.37,6.5,Satisfactory
2311124,3,172.0,6.37,6.16,Satisfactory
2311125,3,220.0,8.15,7.3,Satisfactory
2311126,3,212.0,7.85,6.72,Satisfactory
2311127,3,207.0,7.67,7.0,Satisfactory
2311128,3,264.0,9.78,8.82,Satisfactory
2311129,3,0.0,0.0,0.0,Satisfactory
2311130,3,206.0,7.63,6.84,Satisfactory
2311131,3,184.0,6.81,6.39,Satisfactory
2311132,3,201.0,7.44,7.12,Satisfactory
2311133,3,264.0,9.78,9.02,Satisfactory
2311134,3,226.0,8.37,7.83,Satisfactory
2311135,3,170.0,7.39,6.87,Satisfactory
2311136,3,201.0,7.44,7.44,Satisfactory
2311137,3,250.0,9.26,8.54,Satisfactory
2311138,3,239.0,8.85,8.29,Satisfactory
2311139,3,110.0,4.07,4.01,Satisfactory
2311141,3,229.0,8.48,8.09,Satisfactory
2311142,3,253.0,9.37,8.13,Satisfactory
2311143,3,242.0,8.96,8.22,Satisfactory
2311144,3,224.0,8.3,7.48,Satisfactory
2311145,3,218.0,8.07,7.13,Satisfactory
2311146,3,242.0,8.96,8.23,Satisfactory
2311147,3,238.0,8.81,7.91,Satisfactory
2311149,3,226.0,8.37,7.67,Satisfactory
2311150,3,254.0,9.41,8.29,Satisfactory
2311151,3,145.0,5.37,4.57,Satisfactory
2311152,3,105.0,3.89,4.28,Satisfactory
2311153,3,167.0,6.19,5.63,Satisfactory
2311154,3,191.0,7.07,6.57,Satisfactory
2311155,3,102.0,3.78,3.37,Satisfactory
2311156,3,138.0,5.11,4.85,Satisfactory
2312001,3,232.0,8.92,8.05,Satisfactory
2312002,3,186.0,7.15,6.51,Satisfactory
2312003,3,256.0,9.85,9.47,Satisfactory
2312004,3,238.0,9.15,9.16,Satisfactory
2312005,3,200.0,7.69,7.33,Satisfactory
2312006,3,176.0,6.77,5.7,Satisfactory
2312007,3,200.0,7.69,6.77,Satisfactory
2312008,3,198.0,7.62,6.89,Satisfactory
2312009,3,184.0,7.08,6.68,Satisfactory
2312010,3,198.0,7.62,7.06,Satisfactory
2312011,3,220.0,8.46,8.35,Satisfactory
2312012,3,216.0,8.31,8.09,Satisfactory
2312013,3,190.0,7.31,6.3,Satisfactory
2312014,3,206.0,7.92,7.33,Satisfactory
2312015,3,186.0,7.15,6.86,Satisfactory
2312016,3,152.0,5.85,5.52,Satisfactory
2312017,3,90.0,3.46,4.05,Satisfactory
2312018,3,140.0,5.38,4.78,Satisfactory
2312019,3,240.0,9.23,8.7,Satisfactory
2312020,3,242.0,9.31,9.04,Satisfactory
2312021,3,256.0,9.85,9.59,Satisfactory
2312022,3,168.0,6.46,5.86,Satisfactory
2312023,3,184.0,7.08,6.95,Satisfactory
2312024,3,208.0,8.0,8.09,Satisfactory
2312025,3,252.0,9.69,9.05,Satisfactory
2312026,3,204.0,7.85,7.6,Satisfactory
2312027,3,144.0,5.54,3.57,Satisfactory
2312028,3,226.0,8.69,8.54,Satisfactory
2312029,3,240.0,9.23,8.63,Satisfactory
2312030,3,216.0,8.31,8.11,Satisfactory
2312031,3,210.0,8.08,7.67,Satisfactory
2312032,3,228.0,8.77,7.95,Satisfactory
2312033,3,256.0,9.85,8.9,Satisfactory
2312034,3,212.0,8.15,7.41,Satisfactory
2312035,3,222.0,8.54,8.01,Satisfactory
2312036,3,214.0,8.23,7.32,Satisfactory
2312037,3,236.0,9.08,8.9,Satisfactory
2312038,3,226.0,8.69,8.37,Satisfactory
2312039,3,212.0,8.15,7.63,Satisfactory
2312040,3,196.0,7.54,7.28,Satisfactory
2312041,3,230.0,8.85,7.88,Satisfactory
2312042,3,212.0,8.15,7.23,Satisfactory
2312043,3,220.0,8.46,7.9,Satisfactory
2312044,3,230.0,8.85,8.15,Satisfactory
2312045,3,230.0,8.85,7.99,Satisfactory
2312046,3,176.0,6.77,6.69,Satisfactory
2312047,3,236.0,9.08,8.81,Satisfactory
2312048,3,204.0,7.85,7.58,Satisfactory
2312049,3,162.0,6.23,6.32,Satisfactory
2312050,3,126.0,4.85,4.25,Satisfactory
2312051,3,212.0,8.15,7.44,Satisfactory
2312052,3,228.0,8.77,8.38,Satisfactory
2312053,3,244.0,9.38,9.02,Satisfactory
2312054,3,224.0,8.62,8.6,Satisfactory
2312055,3,206.0,7.92,7.58,Satisfactory
2312056,3,236.0,9.08,8.63,Satisfactory
2312057,3,218.0,8.38,8.21,Satisfactory
2312058,3,192.0,7.38,6.93,Satisfactory
2312059,3,224.0,8.62,8.12,Satisfactory
2312060,3,228.0,8.77,8.64,Satisfactory
2312061,3,228.0,8.77,8.46,Satisfactory
2312062,3,180.0,6.92,6.74,Satisfactory
2312063,3,208.0,8.0,7.58,Satisfactory
2312064,3,234.0,9.0,8.15,Satisfactory
2312065,3,200.0,7.69,7.31,Satisfactory
2312066,3,218.0,8.38,7.56,Satisfactory
2312067,3,180.0,6.92,7.17,Satisfactory
2312068,3,220.0,8.46,7.77,Satisfactory
2312069,3,248.0,9.54,8.86,Satisfactory
2312070,3,202.0,7.77,7.44,Satisfactory
2312071,3,214.0,8.23,8.0,Satisfactory
2312072,3,252.0,9.69,9.46,Satisfactory
2312073,3,244.0,9.38,9.21,Satisfactory
2312074,3,222.0,8.54,8.05,Satisfactory
2312075,3,232.0,8.92,8.62,Satisfactory
2312076,3,252.0,9.69,9.19,Satisfactory
2312077,3,204.0,7.85,7.6,Satisfactory
2312078,3,234.0,9.0,8.79,Satisfactory
2312079,3,212.0,8.15,8.02,Satisfactory
2312080,3,248.0,9.54,8.48,Satisfactory
2312081,3,126.0,4.85,6.02,Satisfactory
2312082,3,194.0,7.46,7.02,Satisfactory
2312083,3,228.0,8.77,8.05,Satisfactory
2312084,3,226.0,8.69,8.0,Satisfactory
2312085,3,184.0,7.08,6.67,Satisfactory
2312086,3,178.0,6.85,7.17,Satisfactory
2312087,3,230.0,8.85,8.15,Satisfactory
2312088,3,216.0,8.31,7.95,Satisfactory
2312089,3,180.0,6.92,6.99,Satisfactory
2312090,3,242.0,9.31,9.15,Satisfactory
2312091,3,180.0,6.92,6.41,Satisfactory
2312092,3,232.0,8.92,8.63,Satisfactory
2312093,3,176.0,6.77,5.83,Satisfactory
2312094,3,116.0,4.46,4.3,Satisfactory
2312095,3,216.0,8.31,7.85,Satisfactory
2312096,3,222.0,8.54,8.67,Satisfactory
2312097,3,230.0,8.85,7.86,Satisfactory
