regn_no,semester,subject_code,credits,grade_point,grade
2311018,3,CE 212,2,10.0,AA
2311018,3,CE 213,2,10.0,AA
2311018,3,MA 201,4,8.0,BB
2311019,3,CE 201,4,7.0,BC
2311019,3,CE 202,3,8.0,BB
2311019,3,CE 203,3,8.0,BB
2311019,3,CE 204,4,9.0,AB
2311019,3,CE 205,3,6.0,CC
2311019,3,CE 211,2,10.0,AA
2311019,3,CE 212,2,9.0,AB
2311019,3,CE 213,2,7.0,BC
2311019,3,MA 201,4,6.0,CC
2311020,3,CE 201,4,9.0,AB
2311020,3,CE 202,3,10.0,AA
2311020,3,CE 203,3,10.0,AA
2311020,3,CE 204,4,10.0,AA
2311020,3,CE 205,3,10.0,AA
2311020,3,CE 211,2,10.0,AA
2311020,3,CE 212,2,10.0,AA
2311020,3,CE 213,2,10.0,AA
2311020,3,MA 201,4,6.0,CC
2311021,3,CE 201,4,6.0,CC
2311021,3,CE 202,3,8.0,BB
2311021,3,CE 203,3,6.0,CC
2311021,3,CE 204,4,4.0,DD
2311021,3,CE 205,3,5.0,CD
2311021,3,CE 211,2,9.0,AB
2311021,3,CE 212,2,9.0,AB
2311021,3,CE 213,2,8.0,BB
2311021,3,MA 201,4,0.0,F
2311022,3,CE 201,4,8.0,BB
2311022,3,CE 202,3,10.0,AA
2311022,3,CE 203,3,8.0,BB
2311022,3,CE 204,4,9.0,AB
2311022,3,CE 205,3,7.0,BC
2311022,3,CE 211,2,10.0,AA
2311022,3,CE 212,2,10.0,AA
2311022,3,CE 213,2,9.0,AB
2311022,3,MA 201,4,6.0,CC
2311023,3,CE 201,4,7.0,BC
2311023,3,CE 202,3,9.0,AB
2311023,3,CE 203,3,7.0,BC
2311023,3,CE 204,4,9.0,AB
2311023,3,CE 205,3,6.0,CC
2311023,3,CE 211,2,10.0,AA
2311023,3,CE 212,2,9.0,AB
2311023,3,CE 213,2,8.0,BB
2311023,3,MA 201,4,6.0,CC
2311024,3,CE 201,4,7.0,BC
2311024,3,CE 202,3,8.0,BB
2311024,3,CE 203,3,8.0,BB
2311024,3,CE 204,4,8.0,BB
2311024,3,CE 205,3,5.0,CD
2311024,3,CE 211,2,10.0,AA
2311024,3,CE 212,2,9.0,AB
2311024,3,CE 213,2,8.0,BB
2311024,3,MA 201,4,6.0,CC
2311025,3,CE 201,4,0.0,F
2311025,3,CE 202,3,6.0,CC
2311025,3,CE 203,3,5.0,CD
2311025,3,CE 204,4,4.0,DD
2311025,3,CE 205,3,0.0,F
2311025,3,CE 211,2,10.0,AA
2311025,3,CE 212,2,9.0,AB
2311025,3,CE 213,2,8.0,BB
2311025,3,MA 201,4,0.0,F
2311026,3,CE 201,4,9.0,AB
2311026,3,CE 202,3,9.0,AB
2311026,3,CE 203,3,10.0,AA
2311026,3,CE 204,4,10.0,AA
2311026,3,CE 205,3,10.0,AA
2311026,3,CE 211,2,10.0,AA
2311026,3,CE 212,2,10.0,AA
2311026,3,CE 213,2,9.0,AB
2311026,3,MA 201,4,7.0,BC
2311027,3,CE 201,4,9.0,AB
2311027,3,CE 202,3,10.0,AA
2311027,3,CE 203,3,10.0,AA
2311027,3,CE 204,4,10.0,AA
2311027,3,CE 205,3,9.0,AB
2311027,3,CE 211,2,10.0,AA
2311027,3,CE 212,2,10.0,AA
2311027,3,CE 213,2,10.0,AA
2311027,3,MA 201,4,7.0,BC
2311028,3,CE 201,4,7.0,BC
2311028,3,CE 202,3,10.0,AA
2311028,3,CE 203,3,10.0,AA
2311028,3,CE 204,4,10.0,AA
2311028,3,CE 205,3,7.0,BC
2311028,3,CE 211,2,10.0,AA
2311028,3,CE 212,2,10.0,AA
2311028,3,CE 213,2,10.0,AA
2311028,3,MA 201,4,7.0,BC
2311029,3,CE 201,4,9.0,AB
2311029,3,CE 202,3,9.0,AB
2311029,3,CE 203,3,9.0,AB
2311029,3,CE 204,4,9.0,AB
2311029,3,CE 205,3,8.0,BB
2311029,3,CE 211,2,10.0,AA
2311029,3,CE 212,2,10.0,AA
2311029,3,CE 213,2,10.0,AA
2311029,3,MA 201,4,7.0,BC
2311030,3,CE 201,4,5.0,CD
2311030,3,CE 202,3,8.0,BB
2311030,3,CE 203,3,8.0,BB
2311030,3,CE 204,4,7.0,BC
2311030,3,CE 205,3,5.0,CD
2311030,3,CE 211,2,10.0,AA
2311030,3,CE 212,2,9.0,AB
2311030,3,CE 213,2,8.0,BB
2311030,3,MA 201,4,4.0,DD
2311032,3,CE 201,4,8.0,BB
2311032,3,CE 202,3,9.0,AB
2311032,3,CE 203,3,9.0,AB
2311032,3,CE 204,4,9.0,AB
2311032,3,CE 205,3,7.0,BC
2311032,3,CE 211,2,10.0,AA
2311032,3,CE 212,2,9.0,AB
2311032,3,CE 213,2,10.0,AA
2311032,3,MA 201,4,7.0,BC
2311034,3,CE 201,4,7.0,BC
2311034,3,CE 202,3,10.0,AA
