regn_no,semester,GP,SGPA,CGPA,EAA
2312001,4,262.0,9.03,8.31,Satisfactory
2312002,4,190.0,6.55,6.74,Satisfactory
2312003,4,290.0,10.0,9.61,Satisfactory
2312004,4,278.0,9.59,9.27,Satisfactory
2312005,4,192.0,7.68,7.42,Satisfactory
2312006,4,158.0,5.45,5.82,Satisfactory
2312007,4,200.0,6.9,6.8,Satisfactory
2312008,4,205.0,7.07,6.94,Satisfactory
2312009,4,184.0,6.34,6.59,Satisfactory
2312010,4,206.0,7.1,7.07,Satisfactory
2312011,4,226.0,7.79,8.2,Satisfactory
2312012,4,212.0,7.31,7.88,Satisfactory
2312013,4,198.0,6.83,6.58,Satisfactory
2312014,4,206.0,7.1,7.27,Satisfactory
2312015,4,196.0,6.76,6.98,Satisfactory
2312016,4,154.0,5.31,5.61,Satisfactory
2312017,4,144.0,4.97,4.84,Satisfactory
2312018,4,94.0,3.24,4.37,Satisfactory
2312019,4,259.0,8.93,8.76,Satisfactory
2312020,4,259.0,8.93,9.01,Satisfactory
2312021,4,275.0,9.48,9.56,Satisfactory
2312022,4,172.0,5.93,6.06,Satisfactory
2312023,4,198.0,6.83,6.92,Satisfactory
2312024,4,222.0,7.66,7.97,Satisfactory
2312025,4,258.0,8.9,9.01,Satisfactory
2312026,4,242.0,8.34,7.8,Satisfactory
2312027,4,163.0,5.62,4.11,Satisfactory
2312028,4,256.0,8.83,8.62,Satisfactory
2312029,4,240.0,8.28,8.54,Satisfactory
2312030,4,250.0,8.62,8.25,Satisfactory
2312031,4,218.0,7.52,7.63,Satisfactory
2312032,4,236.0,8.14,8.0,Satisfactory
2312033,4,267.0,9.21,8.98,Satisfactory
2312034,4,221.0,7.62,7.46,Satisfactory
2312035,4,225.0,7.76,7.95,Satisfactory
2312036,4,228.0,7.86,7.46,Satisfactory
2312037,4,263.0,9.07,8.95,Satisfactory
2312038,4,235.0,8.1,8.3,Satisfactory
2312039,4,227.0,7.83,7.68,Satisfactory
2312040,4,236.0,8.14,7.51,Satisfactory
2312041,4,254.0,8.76,8.11,Satisfactory
2312042,4,253.0,8.72,7.63,Satisfactory
2312043,4,226.0,7.79,7.87,Satisfactory
2312044,4,241.0,8.31,8.19,Satisfactory
2312045,4,244.0,8.41,8.1,Satisfactory
2312046,4,191.0,6.59,6.66,Satisfactory
2312047,4,247.0,8.52,8.74,Satisfactory
2312048,4,215.0,7.41,7.54,Satisfactory
2312049,4,167.0,5.76,6.17,Satisfactory
2312050,4,126.0,4.34,4.27,Satisfactory
2312051,4,235.0,8.1,7.62,Satisfactory
2312052,4,261.0,9.0,8.55,Satisfactory
2312053,4,266.0,9.17,9.06,Satisfactory
2312054,4,243.0,8.38,8.58,Satisfactory
2312055,4,230.0,7.93,7.67,Satisfactory
2312056,4,260.0,8.97,8.72,Satisfactory
2312057,4,243.0,8.38,8.25,Satisfactory
2312058,4,211.0,7.28,7.02,Satisfactory
2312059,4,236.0,8.14,8.13,Satisfactory
2312060,4,251.0,8.66,8.68,Satisfactory
2312061,4,248.0,8.55,8.48,Satisfactory
2312062,4,202.0,6.97,6.8,Satisfactory
2312063,4,233.0,8.03,7.7,Satisfactory
2312064,4,242.0,8.34,8.2,Satisfactory
2312065,4,221.0,7.62,7.39,Satisfactory
2312066,4,231.0,7.97,7.66,Satisfactory
2312067,4,235.0,8.1,7.67,Satisfactory
2312068,4,213.0,7.34,7.65,Satisfactory
2312069,4,280.0,9.66,9.07,Satisfactory
2312070,4,213.0,7.34,7.42,Satisfactory
2312071,4,232.0,8.0,8.0,Satisfactory
2312072,4,256.0,8.83,9.29,Satisfactory
2312073,4,266.0,9.17,9.2,Satisfactory
2312074,4,226.0,7.79,7.98,Satisfactory
2312075,4,268.0,9.24,8.78,Satisfactory
2312076,4,275.0,9.48,9.26,Satisfactory
2312077,4,213.0,7.34,7.54,Satisfactory
2312078,4,244.0,8.41,8.69,Satisfactory
2312079,4,217.0,7.48,7.88,Satisfactory
2312080,4,247.0,8.52,8.49,Satisfactory
2312081,4,239.0,8.24,7.37,Satisfactory
2312082,4,211.0,7.28,7.09,Satisfactory
2312083,4,233.0,8.03,8.05,Satisfactory
2312084,4,241.0,8.31,8.08,Satisfactory
2312085,4,222.0,7.66,6.93,Satisfactory
2312086,4,205.0,7.07,7.15,Satisfactory
2312087,4,264.0,9.1,8.4,Satisfactory
2312088,4,239.0,8.24,8.03,Satisfactory
2312089,4,198.0,6.83,6.95,Satisfactory
2312090,4,263.0,9.07,9.13,Satisfactory
2312091,4,203.0,7.0,6.6,Satisfactory
2312092,4,249.0,8.59,8.62,Satisfactory
2312093,4,186.0,6.41,6.27,Satisfactory
2312094,4,104.0,3.59,4.11,Satisfactory
2312095,4,233.0,8.03,7.9,Satisfactory
2312096,4,248.0,8.55,8.67,Satisfactory
2312097,4,244.0,8.41,8.01,Satisfactory
2312098,4,252.0,8.69,8.98,Satisfactory
2312099,4,264.0,9.1,9.02,Satisfactory
2312100,4,238.0,8.21,8.22,Satisfactory
2312101,4,175.0,6.03,5.77,Satisfactory
2312102,4,217.0,7.48,7.43,Satisfactory
2312103,4,235.0,8.1,8.3,Satisfactory
2312104,4,193.0,6.66,6.35,Satisfactory
2312105,4,237.0,8.17,8.1,Satisfactory
2312106,4,228.0,7.86,7.81,Satisfactory
2312107,4,264.0,9.1,9.04,Satisfactory
2312108,4,225.0,7.76,7.35,Satisfactory
2312109,4,240.0,8.28,8.34,Satisfactory
2312110,4,208.0,7.17,7.16,Satisfactory
2312111,4,264.0,9.1,8.5,Satisfactory
2312112,4,260.0,8.97,8.95,Satisfactory
2312113,4,225.0,7.76,7.28,Satisfactory
2312114,4,252.0,8.69,9.08,Satisfactory
2312115,4,253.0,8.72,8.64,Satisfactory
2312116,4,245.0,8.45,8.08,Satisfactory
2312117,4,257.0,8.86,9.0,Satisfactory
2312118,4,231.0,7.97,8.36,Satisfactory
2312119,4,262.0,9.03,8.92,Satisfactory
2312120,4,284.0,9.79,9.3,Satisfactory
2312121,4,223.0,7.69,7.99,Satisfactory
2312122,4,282.0,9.72,9.56,Satisfactory
2312123,4,268.0,9.24,8.96,Satisfactory
2312124,4,262.0,9.03,8.69,Satisfactory
2312125,4,258.0,8.9,8.52,Satisfactory
2312126,4,290.0,10.0,9.61,Satisfactory
2312127,4,215.0,7.41,6.5,Satisfactory
2312128,4,209.0,7.21,7.12,Satisfactory
2312129,4,256.0,8.83,9.24,Satisfactory
2312130,4,248.0,8.55,8.87,Satisfactory
2312131,4,282.0,9.72,9.57,Satisfactory
2312132,4,224.0,7.72,8.37,Satisfactory
2312133,4,262.0,9.03,8.85,Satisfactory
2312134,4,226.0,7.79,7.75,Satisfactory
2312135,4,243.0,8.38,8.07,Satisfactory
2312136,4,240.0,8.28,7.95,Satisfactory
2312137,4,247.0,8.52,7.75,Satisfactory
2312138,4,206.0,7.1,7.2,Satisfactory
2312139,4,154.0,5.31,5.75,Satisfactory
2312140,4,128.0,4.41,5.02,Satisfactory
2312141,4,242.0,8.34,8.55,Satisfactory
2312142,4,254.0,8.76,8.92,Satisfactory
2312143,4,250.0,8.62,8.55,Satisfactory
2312144,4,187.0,6.45,6.65,Satisfactory
2312145,4,219.0,7.55,7.79,Satisfactory
2312146,4,235.0,8.1,7.54,Satisfactory
2312147,4,254.0,8.76,8.57,Satisfactory
2312149,4,227.0,7.83,7.98,Satisfactory
2312150,4,244.0,8.41,8.45,Satisfactory
2312151,4,203.0,7.0,7.13,Satisfactory
2312152,4,236.0,8.14,8.31,Satisfactory
2312153,4,196.0,6.76,6.26,Satisfactory
2312154,4,241.0,8.31,8.24,Satisfactory
2312155,4,233.0,8.03,7.39,Satisfactory
2312156,4,232.0,8.0,7.88,Satisfactory
2312157,4,194.0,6.69,6.3,Satisfactory
2312158,4,178.0,6.14,5.36,Satisfactory
2312159,4,158.0,5.45,4.9,Satisfactory
2312160,4,232.0,8.0,7.65,Satisfactory
2312161,4,246.0,8.48,8.3,Satisfactory
2312162,4,113.0,3.9,4.95,Satisfactory
2312163,4,244.0,8.41,8.26,Satisfactory
2312164,4,241.0,8.31,8.35,Satisfactory
2312165,4,190.0,6.55,6.44,Satisfactory
2312166,4,272.0,9.38,9.09,Satisfactory
2312167,4,266.0,9.17,9.21,Satisfactory
2312168,4,231.0,7.97,8.15,Satisfactory
2312169,4,237.0,8.17,7.91,Satisfactory
2312170,4,112.0,3.86,4.24,Satisfactory
2312171,4,189.0,6.52,6.07,Satisfactory
2312172,4,247.0,8.52,7.65,Satisfactory
2312173,4,164.0,5.66,4.43,Satisfactory
2312174,4,119.0,4.1,4.49,Satisfactory
2312175,4,107.0,3.69,4.28,Satisfactory
2312176,4,266.0,9.17,9.35,Satisfactory
2312177,4,274.0,9.45,9.4,Satisfactory
2312178,4,264.0,9.1,9.34,Satisfactory
2312179,4,247.0,8.52,8.91,Satisfactory
2312180,4,258.0,8.9,9.15,Satisfactory
