regn_no,semester,GP,SGPA,CGPA,EAA
2311054,6,226.0,8.07,7.57,Satisfactory
2311055,6,248.0,8.86,8.11,Satisfactory
2311056,6,235.0,8.39,7.84,Satisfactory
2311057,6,240.0,8.57,7.73,Satisfactory
2311059,6,251.0,8.96,7.97,Satisfactory
2311060,6,247.0,8.82,8.23,Satisfactory
2311061,6,244.0,8.71,8.17,Satisfactory
2311062,6,245.0,8.75,8.54,Satisfactory
2311063,6,259.0,9.25,8.57,Satisfactory
2311064,6,199.0,7.11,7.42,Satisfactory
2311065,6,213.0,7.61,6.8,Satisfactory
2311066,6,230.0,8.21,8.15,Satisfactory
2311067,6,222.0,7.93,7.09,Satisfactory
2311069,6,198.0,7.07,6.75,Satisfactory
2311070,6,265.0,9.46,8.82,Satisfactory
2311071,6,233.0,8.32,7.78,Satisfactory
2311072,6,259.0,9.25,8.8,Satisfactory
2311073,6,226.0,8.07,8.11,Satisfactory
2311074,6,224.0,8.0,7.64,Satisfactory
2311075,6,252.0,9.0,7.89,Satisfactory
2311076,6,191.0,6.82,6.59,Satisfactory
2311077,6,241.0,8.61,8.11,Satisfactory
2311078,6,250.0,8.93,8.29,Satisfactory
2311079,6,265.0,9.46,9.01,Satisfactory
2311080,6,220.0,7.86,7.66,Satisfactory
2311081,6,225.0,8.04,6.89,Satisfactory
2311082,6,253.0,9.04,8.1,Satisfactory
2311083,6,256.0,9.14,7.6,Satisfactory
2311084,6,244.0,8.71,7.83,Satisfactory
2311085,6,217.0,7.75,6.95,Satisfactory
2311086,6,242.0,8.64,7.54,Satisfactory
2311087,6,197.0,7.04,6.1,Satisfactory
2311088,6,197.0,7.04,6.37,Satisfactory
2311089,6,185.0,6.61,6.2,Satisfactory
2311090,6,129.0,4.61,5.03,Satisfactory
2311091,6,203.0,7.25,6.13,Satisfactory
2311092,6,229.0,8.18,7.99,Satisfactory
2311093,6,224.0,8.0,7.19,Satisfactory
2311094,6,256.0,9.14,8.8,Satisfactory
2311095,6,208.0,7.43,6.85,Satisfactory
2311096,6,246.0,8.79,8.17,Satisfactory
2311097,6,129.0,4.61,5.16,Satisfactory
2311098,6,249.0,8.89,7.61,Satisfactory
2311100,6,249.0,8.89,8.33,Satisfactory
2311101,6,269.0,9.61,8.78,Satisfactory
2311102,6,216.0,7.71,6.77,Satisfactory
2311103,6,243.0,8.68,7.78,Satisfactory
2311104,6,269.0,9.61,8.67,Satisfactory
2311106,6,280.0,10.0,8.61,Satisfactory
2311107,6,267.0,9.54,8.36,Satisfactory
2311108,6,273.0,9.75,8.64,Satisfactory
2311109,6,233.0,8.32,6.98,Satisfactory
2311110,6,239.0,8.54,7.42,Satisfactory
2311111,6,222.0,7.93,6.39,Satisfactory
2311112,6,213.0,7.61,6.56,Satisfactory
2311113,6,264.0,9.43,8.03,Satisfactory
2314001,6,241.0,8.61,8.03,Satisfactory
2314002,6,194.0,6.93,6.6,Satisfactory
2314003,6,197.0,7.04,6.69,Satisfactory
2314004,6,237.0,8.46,8.33,Satisfactory
2314005,6,227.0,8.11,7.77,Satisfactory
2314006,6,229.0,8.18,7.69,Satisfactory
2314007,6,217.0,7.75,7.07,Satisfactory
2314008,6,233.0,8.32,7.13,Satisfactory
2314009,6,224.0,8.0,7.32,Satisfactory
2314010,6,264.0,9.43,8.37,Satisfactory
2314012,6,255.0,9.11,8.82,Satisfactory
2314013,6,235.0,8.39,8.38,Satisfactory
2314014,6,237.0,8.46,8.46,Satisfactory
2314015,6,245.0,8.75,8.23,Satisfactory
2314016,6,251.0,8.96,8.53,Satisfactory
2314017,6,265.0,9.46,8.75,Satisfactory
2314018,6,241.0,8.61,7.69,Satisfactory
2314019,6,199.0,7.11,6.95,Satisfactory
2314020,6,231.0,8.25,8.44,Satisfactory
2314021,6,107.0,3.82,4.93,Satisfactory
2314022,6,200.0,7.14,6.76,Satisfactory
2314023,6,236.0,8.43,8.04,Satisfactory
2314024,6,278.0,9.93,9.25,Satisfactory
2314025,6,243.0,8.68,8.22,Satisfactory
2314026,6,241.0,8.61,8.43,Satisfactory
2314027,6,93.0,3.32,5.22,Satisfactory
2314028,6,209.0,7.46,6.96,Satisfactory
2314029,6,205.0,7.32,6.83,Satisfactory
2314030,6,262.0,9.36,9.09,Satisfactory
2314031,6,241.0,8.61,7.87,Satisfactory
2314032,6,258.0,9.21,8.44,Satisfactory
2314033,6,193.0,6.89,6.35,Satisfactory
2314034,6,246.0,8.79,7.94,Satisfactory
2314035,6,269.0,9.61,8.65,Satisfactory
2314036,6,259.0,9.25,9.02,Satisfactory
2314037,6,240.0,8.57,8.16,Satisfactory
2314038,6,217.0,7.75,7.75,Satisfactory
