Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
44,2312044,7,BC,8,BB,10,AA,9,AB,9,AB,8,BB,5,CD,7,BC,10,AA,218,7.79,7.82,-
45,2312045,7,BC,10,AA,10,AA,7,BC,9,AB,7,BC,5,CD,9,AB,9,AB,222,7.93,7.58,-
46,2312046,7,BC,7,BC,10,AA,7,BC,9,AB,5,CD,7,BC,6,CC,9,AB,198,7.07,6.65,-
47,2312047,8,BB,10,AA,10,AA,10,AA,9,AB,8,BB,5,CD,9,AB,10,AA,240,8.57,8.69,-
48,2312048,7,BC,7,BC,10,AA,9,AB,8,BB,7,BC,5,CD,7,BC,9,AB,206,7.36,7.45,-
49,2312049,6,CC,7,BC,10,AA,6,CC,9,AB,5,CD,4,DD,5,CD,9,AB,176,6.29,6.36,-
50,2312050,4,DD,0,F,9,AB,4,DD,9,AB,4,DD,0,F,0,F,6,CC,88,3.14,3.96,-
51,2312051,6,CC,7,BC,10,AA,9,AB,7,BC,6,CC,5,CD,6,CC,9,AB,193,6.89,7.11,-
52,2312052,8,BB,9,AB,10,AA,8,BB,9,AB,8,BB,6,CC,10,AA,9,AB,236,8.43,8.2,-
53,2312053,7,BC,10,AA,10,AA,9,AB,9,AB,8,BB,10,AA,10,AA,10,AA,258,9.21,8.85,-
54,2312054,9,AB,9,AB,9,AB,9,AB,8,BB,8,BB,8,BB,9,AB,9,AB,242,8.64,8.6,-
55,2312055,7,BC,9,AB,9,AB,7,BC,9,AB,6,CC,6,CC,9,AB,8,BB,214,7.64,7.42,-
56,2312056,8,BB,8,BB,10,AA,9,AB,9,AB,8,BB,8,BB,9,AB,10,AA,241,8.61,8.42,-
57,2312057,7,BC,9,AB,10,AA,9,AB,9,AB,8,BB,6,CC,7,BC,9,AB,224,8.00,8.13,-
58,2312058,6,CC,6,CC,10,AA,7,BC,6,CC,7,BC,4,DD,6,CC,9,AB,181,6.46,6.71,-
59,2312059,7,BC,8,BB,10,AA,9,AB,9,AB,7,BC,7,BC,8,BB,10,AA,226,8.07,7.89,-
60,2312060,9,AB,8,BB,9,AB,9,AB,9,AB,8,BB,6,CC,10,AA,9,AB,236,8.43,8.58,-
61,2312061,7,BC,9,AB,9,AB,8,BB,9,AB,9,AB,6,CC,9,AB,10,AA,233,8.32,8.31,-
62,2312062,6,CC,8,BB,9,AB,7,BC,9,AB,6,CC,5,CD,6,CC,9,AB,193,6.89,6.65,-
63,2312063,4,DD,9,AB,9,AB,9,AB,9,AB,7,BC,5,CD,8,BB,8,BB,207,7.39,7.38,-
64,2312064,5,CD,8,BB,10,AA,9,AB,9,AB,9,AB,6,CC,6,CC,9,AB,214,7.64,7.75,-
65,2312065,5,CD,7,BC,9,AB,8,BB,9,AB,6,CC,5,CD,7,BC,9,AB,193,6.89,7.13,-
66,2312066,6,CC,7,BC,9,AB,9,AB,9,AB,8,BB,5,CD,7,BC,8,BB,205,7.32,7.16,-
67,2312067,6,CC,7,BC,9,AB,9,AB,9,AB,8,BB,5,CD,7,BC,9,AB,207,7.39,7.29,-
68,2312068,5,CD,8,BB,10,AA,10,AA,9,AB,7,BC,5,CD,7,BC,9,AB,209,7.46,7.44,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
69,2312069,7,BC,10,AA,10,AA,10,AA,9,AB,7,BC,5,CD,9,AB,8,BB,229,8.18,8.55,-
70,2312070,6,CC,8,BB,10,AA,8,BB,9,AB,8,BB,4,DD,9,AB,8,BB,212,7.57,7.29,-
71,2312071,6,CC,9,AB,10,AA,9,AB,8,BB,8,BB,8,BB,9,AB,9,AB,235,8.39,7.89,-
72,2312072,9,AB,10,AA,10,AA,10,AA,9,AB,10,AA,7,BC,10,AA,9,AB,261,9.32,9.35,-
73,2312073,8,BB,10,AA,10,AA,10,AA,9,AB,9,AB,7,BC,10,AA,9,AB,254,9.07,9.13,-
74,2312074,7,BC,9,AB,9,AB,9,AB,9,AB,8,BB,5,CD,8,BB,9,AB,222,7.93,7.82,-
75,2312075,8,BB,10,AA,10,AA,9,AB,9,AB,9,AB,7,BC,9,AB,9,AB,247,8.82,8.47,-
76,2312076,9,AB,10,AA,10,AA,9,AB,9,AB,9,AB,7,BC,9,AB,10,AA,252,9.00,8.95,-
77,2312077,5,CD,8,BB,10,AA,8,BB,9,AB,8,BB,5,CD,7,BC,8,BB,205,7.32,7.49,-
78,2312078,8,BB,10,AA,10,AA,9,AB,9,AB,8,BB,9,AB,10,AA,9,AB,255,9.11,8.69,-
79,2312079,5,CD,7,BC,10,AA,10,AA,9,AB,7,BC,6,CC,8,BB,9,AB,213,7.61,7.96,-
80,2312080,7,BC,9,AB,10,AA,9,AB,9,AB,7,BC,7,BC,8,BB,9,AB,228,8.14,7.98,-
81,2312081,5,CD,7,BC,10,AA,8,BB,9,AB,6,CC,6,CC,6,CC,9,AB,195,6.96,6.58,-
82,2312082,4,DD,7,BC,9,AB,9,AB,9,AB,8,BB,6,CC,6,CC,7,BC,197,7.04,6.82,-
83,2312083,6,CC,7,BC,10,AA,8,BB,9,AB,7,BC,8,BB,7,BC,8,BB,212,7.57,7.71,-
84,2312084,6,CC,9,AB,9,AB,9,AB,9,AB,8,BB,7,BC,6,CC,9,AB,219,7.82,7.67,-
85,2312085,5,CD,7,BC,9,AB,7,BC,9,AB,6,CC,7,BC,5,CD,8,BB,188,6.71,6.47,-
86,2312086,6,CC,8,BB,10,AA,8,BB,6,CC,8,BB,5,CD,8,BB,9,AB,208,7.43,7.33,-
87,2312087,6,CC,7,BC,10,AA,9,AB,8,BB,7,BC,5,CD,8,BB,9,AB,207,7.39,7.82,-
88,2312088,8,BB,9,AB,10,AA,8,BB,9,AB,7,BC,9,AB,8,BB,10,AA,238,8.50,7.78,-
89,2312089,7,BC,9,AB,10,AA,8,BB,8,BB,6,CC,7,BC,6,CC,8,BB,209,7.46,7.02,-
90,2312090,9,AB,10,AA,10,AA,10,AA,9,AB,8,BB,6,CC,9,AB,9,AB,245,8.75,9.07,-
91,2312091,6,CC,4,DD,8,BB,8,BB,7,BC,4,DD,4,DD,5,CD,7,BC,154,5.50,6.16,-
92,2312092,8,BB,7,BC,9,AB,9,AB,7,BC,9,AB,7,BC,7,BC,9,AB,221,7.89,8.49,-
93,2312093,7,BC,5,CD,8,BB,7,BC,7,BC,4,DD,5,CD,6,CC,7,BC,166,5.93,5.38,-
94,2312094,8,BB,0,F,8,BB,8,BB,7,BC,0,F,0,F,0,F,8,BB,94,3.36,4.22,-
95,2312095,8,BB,7,BC,9,AB,9,AB,7,BC,8,BB,5,CD,7,BC,9,AB,209,7.46,7.64,-
96,2312096,8,BB,9,AB,8,BB,9,AB,8,BB,9,AB,10,AA,8,BB,9,AB,245,8.75,8.73,-
97,2312097,8,BB,6,CC,7,BC,7,BC,8,BB,7,BC,6,CC,7,BC,8,BB,195,6.96,7.4,-
98,2312098,9,AB,7,BC,9,AB,9,AB,8,BB,10,AA,8,BB,9,AB,9,AB,242,8.64,8.95,-
99,2312099,9,AB,8,BB,8,BB,9,AB,8,BB,9,AB,8,BB,9,AB,9,AB,240,8.57,8.95,-
100,2312100,8,BB,8,BB,9,AB,9,AB,8,BB,8,BB,4,DD,8,BB,10,AA,217,7.75,8.11,-
101,2312101,6,CC,4,DD,8,BB,7,BC,8,BB,4,DD,0,F,4,DD,7,BC,133,4.75,5.13,-
102,2312102,6,CC,5,CD,9,AB,9,AB,8,BB,6,CC,5,CD,6,CC,6,CC,179,6.39,6.87,-
103,2312103,8,BB,7,BC,9,AB,9,AB,8,BB,9,AB,8,BB,8,BB,9,AB,231,8.25,8.11,-
104,2312104,5,CD,5,CD,8,BB,7,BC,8,BB,4,DD,0,F,6,CC,9,AB,146,5.21,5.29,-
105,2312105,6,CC,6,CC,9,AB,9,AB,8,BB,9,AB,9,AB,7,BC,9,AB,221,7.89,7.71,-
106,2312106,8,BB,6,CC,9,AB,8,BB,8,BB,8,BB,5,CD,7,BC,8,BB,202,7.21,7.44,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
107,2312107,7,BC,8,BB,9,AB,9,AB,8,BB,10,AA,8,BB,10,AA,8,BB,242,8.64,8.91,-
108,2312108,8,BB,8,BB,9,AB,8,BB,8,BB,8,BB,5,CD,6,CC,8,BB,206,7.36,6.95,-
109,2312109,8,BB,7,BC,10,AA,8,BB,8,BB,9,AB,8,BB,9,AB,8,BB,232,8.29,8.09,-
110,2312110,7,BC,6,CC,10,AA,9,AB,8,BB,5,CD,6,CC,5,CD,9,AB,190,6.79,7.2,-
111,2312111,8,BB,7,BC,10,AA,10,AA,7,BC,9,AB,6,CC,9,AB,10,AA,232,8.29,8.2,-
112,2312112,9,AB,7,BC,9,AB,9,AB,7,BC,9,AB,8,BB,9,AB,10,AA,238,8.50,8.78,-
113,2312113,7,BC,5,CD,9,AB,8,BB,7,BC,7,BC,6,CC,6,CC,8,BB,189,6.75,6.73,-
114,2312114,8,BB,9,AB,10,AA,9,AB,7,BC,10,AA,8,BB,10,AA,10,AA,253,9.04,9.22,-
115,2312115,8,BB,9,AB,10,AA,8,BB,7,BC,10,AA,5,CD,9,AB,8,BB,230,8.21,8.31,-
116,2312116,8,BB,7,BC,10,AA,7,BC,8,BB,8,BB,6,CC,7,BC,8,BB,209,7.46,7.82,-
117,2312117,8,BB,8,BB,10,AA,8,BB,8,BB,10,AA,9,AB,9,AB,9,AB,246,8.79,8.85,-
118,2312118,8,BB,7,BC,9,AB,9,AB,8,BB,9,AB,8,BB,10,AA,9,AB,239,8.54,8.64,-
119,2312119,9,AB,9,AB,9,AB,10,AA,8,BB,10,AA,7,BC,8,BB,9,AB,245,8.75,8.64,-
120,2312120,9,AB,7,BC,9,AB,10,AA,8,BB,10,AA,6,CC,9,AB,10,AA,239,8.54,8.93,-
121,2312121,8,BB,7,BC,10,AA,8,BB,9,AB,9,AB,5,CD,8,BB,9,AB,220,7.86,7.85,-
122,2312122,10,AA,9,AB,10,AA,10,AA,9,AB,9,AB,9,AB,10,AA,10,AA,266,9.50,9.35,-
123,2312123,9,AB,8,BB,9,AB,9,AB,9,AB,9,AB,8,BB,8,BB,9,AB,240,8.57,8.62,-
124,2312124,7,BC,7,BC,10,AA,8,BB,9,AB,9,AB,6,CC,8,BB,10,AA,223,7.96,8.18,-
125,2312125,7,BC,9,AB,10,AA,8,BB,9,AB,9,AB,8,BB,8,BB,9,AB,237,8.46,8.38,-
126,2312126,9,AB,8,BB,10,AA,10,AA,9,AB,10,AA,9,AB,9,AB,9,AB,257,9.18,9.36,-
127,2312127,7,BC,4,DD,8,BB,8,BB,9,AB,7,BC,4,DD,6,CC,5,CD,173,6.18,6.25,-
128,2312128,8,BB,5,CD,8,BB,7,BC,9,AB,7,BC,5,CD,7,BC,8,BB,191,6.82,6.76,-
129,2312129,9,AB,8,BB,9,AB,10,AA,9,AB,9,AB,10,AA,9,AB,10,AA,257,9.18,9.31,-
130,2312130,8,BB,8,BB,10,AA,10,AA,9,AB,9,AB,8,BB,10,AA,9,AB,250,8.93,9.09,-
131,2312131,9,AB,9,AB,10,AA,9,AB,8,BB,10,AA,10,AA,10,AA,10,AA,266,9.50,9.44,-
132,2312132,9,AB,7,BC,9,AB,9,AB,8,BB,8,BB,7,BC,9,AB,9,AB,230,8.21,8.71,-
133,2312133,9,AB,7,BC,9,AB,10,AA,8,BB,8,BB,8,BB,8,BB,8,BB,231,8.25,8.64,-
134,2312134,7,BC,6,CC,9,AB,8,BB,8,BB,8,BB,8,BB,8,BB,8,BB,215,7.68,7.76,-
135,2312135,8,BB,6,CC,9,AB,8,BB,8,BB,9,AB,6,CC,7,BC,9,AB,212,7.57,7.65,-
136,2312136,8,BB,7,BC,9,AB,9,AB,8,BB,8,BB,7,BC,7,BC,9,AB,219,7.82,7.69,-
137,2312137,6,CC,7,BC,9,AB,7,BC,8,BB,8,BB,5,CD,6,CC,8,BB,193,6.89,7.07,-
138,2312138,7,BC,5,CD,8,BB,9,AB,8,BB,8,BB,5,CD,6,CC,8,BB,192,6.86,6.98,-
139,2312139,8,BB,4,DD,9,AB,8,BB,8,BB,5,CD,0,F,4,DD,5,CD,144,5.14,4.89,-
140,2312140,5,CD,0,F,9,AB,4,DD,8,BB,0,F,0,F,0,F,8,BB,77,2.75,4.04,-
141,2312141,7,BC,8,BB,9,AB,8,BB,8,BB,9,AB,7,BC,8,BB,9,AB,225,8.04,8.38,-
142,2312142,7,BC,7,BC,10,AA,9,AB,8,BB,10,AA,8,BB,8,BB,10,AA,236,8.43,8.78,-
143,2312143,8,BB,6,CC,9,AB,9,AB,8,BB,10,AA,7,BC,7,BC,8,BB,221,7.89,8.4,-
144,2312144,8,BB,5,CD,9,AB,8,BB,8,BB,6,CC,4,DD,5,CD,8,BB,178,6.36,6.45,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
145,2312145,7,BC,6,CC,8,BB,8,BB,8,BB,8,BB,7,BC,6,CC,8,BB,201,7.18,7.71,-
146,2312146,7,BC,6,CC,9,AB,8,BB,7,BC,7,BC,6,CC,7,BC,9,AB,199,7.11,6.87,-
147,2312147,8,BB,7,BC,9,AB,10,AA,7,BC,9,AB,8,BB,9,AB,9,AB,236,8.43,8.31,-
148,2312149,8,BB,6,CC,10,AA,9,AB,7,BC,8,BB,8,BB,7,BC,9,AB,219,7.82,7.91,-
149,2312150,8,BB,8,BB,9,AB,9,AB,7,BC,9,AB,7,BC,8,BB,10,AA,231,8.25,8.4,-
150,2312151,7,BC,6,CC,8,BB,7,BC,7,BC,6,CC,5,CD,6,CC,8,BB,180,6.43,7.11,-
151,2312152,8,BB,7,BC,9,AB,8,BB,7,BC,8,BB,8,BB,9,AB,9,AB,226,8.07,8.36,-
152,2312153,6,CC,4,DD,8,BB,6,CC,7,BC,4,DD,0,F,5,CD,7,BC,132,4.71,4.82,-
153,2312154,8,BB,6,CC,10,AA,8,BB,7,BC,8,BB,6,CC,7,BC,9,AB,208,7.43,7.84,-
154,2312155,7,BC,5,CD,8,BB,9,AB,7,BC,7,BC,0,F,5,CD,7,BC,160,5.71,6.36,-
155,2312156,7,BC,7,BC,9,AB,9,AB,6,CC,8,BB,5,CD,6,CC,8,BB,198,7.07,7.65,-
156,2312157,7,BC,4,DD,9,AB,7,BC,6,CC,4,DD,5,CD,6,CC,8,BB,164,5.86,5.75,-
157,2312158,6,CC,0,F,8,BB,5,CD,6,CC,0,F,0,F,4,DD,7,BC,91,3.25,4.18,-
158,2312159,7,BC,4,DD,8,BB,8,BB,6,CC,0,F,0,F,4,DD,5,CD,115,4.11,4.35,-
159,2312160,7,BC,6,CC,8,BB,9,AB,6,CC,8,BB,6,CC,6,CC,8,BB,196,7.00,7.47,-
160,2312161,8,BB,5,CD,9,AB,9,AB,8,BB,7,BC,8,BB,7,BC,10,AA,213,7.61,8.13,-
161,2312162,5,CD,4,DD,8,BB,7,BC,8,BB,4,DD,0,F,4,DD,8,BB,132,4.71,5.35,-
162,2312163,9,AB,7,BC,10,AA,9,AB,8,BB,9,AB,6,CC,5,CD,9,AB,216,7.71,8.09,-
163,2312164,9,AB,7,BC,9,AB,9,AB,8,BB,8,BB,8,BB,6,CC,9,AB,222,7.93,8.31,-
164,2312165,6,CC,4,DD,10,AA,9,AB,8,BB,5,CD,6,CC,6,CC,8,BB,181,6.46,5.96,-
165,2312166,8,BB,8,BB,9,AB,10,AA,7,BC,9,AB,9,AB,8,BB,10,AA,242,8.64,8.76,-
166,2312167,9,AB,9,AB,10,AA,10,AA,7,BC,10,AA,6,CC,10,AA,10,AA,251,8.96,9.22,-
167,2312168,7,BC,6,CC,9,AB,8,BB,7,BC,8,BB,8,BB,7,BC,7,BC,207,7.39,8.09,-
168,2312169,7,BC,7,BC,10,AA,9,AB,7,BC,7,BC,6,CC,7,BC,9,AB,208,7.43,7.69,-
169,2312170,6,CC,0,F,9,AB,5,CD,7,BC,0,F,4,DD,4,DD,8,BB,113,4.04,4.64,-
170,2312171,8,BB,5,CD,9,AB,9,AB,7,BC,5,CD,4,DD,4,DD,6,CC,167,5.96,5.58,-
171,2312172,7,BC,7,BC,9,AB,8,BB,7,BC,7,BC,5,CD,5,CD,8,BB,189,6.75,6.2,-
172,2312173,7,BC,0,F,7,BC,6,CC,7,BC,0,F,0,F,0,F,6,CC,79,2.82,3.11,-
173,2312174,6,CC,0,F,9,AB,6,CC,7,BC,0,F,4,DD,4,DD,8,BB,116,4.14,4.78,-
174,2312175,6,CC,0,F,8,BB,7,BC,7,BC,0,F,0,F,0,F,4,DD,77,2.75,3.67,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
1,2313001,5,CD,0,F,7,BC,4,DD,6,CC,0,F,0,F,0,F,5,CD,63,2.25,3,-
2,2313002,6,CC,6,CC,9,AB,8,BB,8,BB,9,AB,9,AB,8,BB,7,BC,218,7.79,7.76,-
3,2313003,6,CC,6,CC,10,AA,9,AB,8,BB,8,BB,7,BC,8,BB,8,BB,213,7.61,7.76,-
4,2313004,4,DD,0,F,7,BC,5,CD,5,CD,0,F,0,F,0,F,0,F,51,1.82,3.15,-
5,2313005,8,BB,6,CC,9,AB,9,AB,8,BB,10,AA,10,AA,9,AB,10,AA,245,8.75,9.04,-
6,2313006,9,AB,7,BC,10,AA,10,AA,9,AB,10,AA,9,AB,9,AB,10,AA,255,9.11,9.44,-
7,2313007,8,BB,5,CD,10,AA,9,AB,9,AB,7,BC,8,BB,4,DD,8,BB,201,7.18,7.58,-
8,2313008,6,CC,4,DD,9,AB,9,AB,8,BB,7,BC,5,CD,6,CC,6,CC,179,6.39,6.62,-
9,2313009,7,BC,0,F,9,AB,8,BB,5,CD,8,BB,5,CD,6,CC,7,BC,163,5.82,5.98,-
10,2313010,8,BB,7,BC,10,AA,9,AB,8,BB,10,AA,6,CC,9,AB,7,BC,229,8.18,8.09,-
11,2313011,7,BC,7,BC,10,AA,9,AB,8,BB,8,BB,7,BC,9,AB,9,AB,226,8.07,8.55,-
12,2313012,7,BC,8,BB,9,AB,9,AB,9,AB,10,AA,6,CC,10,AA,10,AA,240,8.57,8.58,-
13,2313013,7,BC,6,CC,9,AB,9,AB,9,AB,7,BC,7,BC,8,BB,9,AB,214,7.64,7.62,-
14,2313014,5,CD,5,CD,9,AB,8,BB,9,AB,8,BB,7,BC,7,BC,6,CC,195,6.96,7.6,-
15,2313015,6,CC,4,DD,9,AB,9,AB,9,AB,9,AB,7,BC,7,BC,8,BB,205,7.32,7.51,-
16,2313016,6,CC,0,F,9,AB,8,BB,9,AB,6,CC,0,F,4,DD,7,BC,132,4.71,5.11,-
17,2313017,10,AA,6,CC,10,AA,10,AA,9,AB,10,AA,7,BC,10,AA,10,AA,250,8.93,9.18,-
18,2313018,6,CC,4,DD,10,AA,9,AB,9,AB,5,CD,4,DD,6,CC,8,BB,175,6.25,6.73,-
19,2313019,7,BC,7,BC,10,AA,9,AB,9,AB,9,AB,8,BB,8,BB,9,AB,232,8.29,8.4,-
20,2313020,8,BB,5,CD,9,AB,9,AB,9,AB,9,AB,8,BB,8,BB,10,AA,227,8.11,8.44,-
21,2313021,6,CC,8,BB,9,AB,10,AA,9,AB,9,AB,6,CC,9,AB,10,AA,232,8.29,8.45,-
22,2313022,9,AB,7,BC,9,AB,10,AA,9,AB,9,AB,8,BB,8,BB,9,AB,239,8.54,8.51,-
23,2313023,8,BB,6,CC,9,AB,10,AA,9,AB,9,AB,8,BB,7,BC,8,BB,226,8.07,8.53,-
24,2313024,6,CC,4,DD,9,AB,9,AB,9,AB,5,CD,4,DD,5,CD,6,CC,165,5.89,6.53,-
25,2313025,6,CC,6,CC,10,AA,9,AB,9,AB,7,BC,7,BC,8,BB,9,AB,213,7.61,7.8,-
26,2313026,6,CC,4,DD,9,AB,9,AB,9,AB,6,CC,5,CD,7,BC,7,BC,183,6.54,6.73,-
27,2313027,6,CC,5,CD,9,AB,10,AA,9,AB,8,BB,6,CC,8,BB,9,AB,210,7.50,7.75,-
28,2313028,9,AB,6,CC,9,AB,9,AB,9,AB,9,AB,9,AB,9,AB,9,AB,240,8.57,8.62,-
29,2313029,7,BC,4,DD,9,AB,9,AB,9,AB,6,CC,4,DD,4,DD,9,AB,174,6.21,6.44,-
30,2313030,6,CC,0,F,9,AB,8,BB,8,BB,6,CC,4,DD,6,CC,9,AB,158,5.64,6.25,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
31,2313031,7,BC,5,CD,9,AB,9,AB,9,AB,8,BB,5,CD,9,AB,10,AA,212,7.57,7.78,-
32,2313032,7,BC,5,CD,10,AA,9,AB,9,AB,8,BB,7,BC,7,BC,9,AB,212,7.57,8.27,-
33,2313033,7,BC,0,F,9,AB,8,BB,7,BC,7,BC,5,CD,5,CD,9,AB,163,5.82,6.2,-
34,2313034,6,CC,5,CD,9,AB,10,AA,9,AB,8,BB,5,CD,7,BC,8,BB,200,7.14,7.67,-
35,2313035,8,BB,5,CD,9,AB,9,AB,9,AB,8,BB,6,CC,7,BC,9,AB,209,7.46,8.07,-
36,2313036,7,BC,7,BC,10,AA,10,AA,9,AB,9,AB,6,CC,8,BB,10,AA,229,8.18,7.85,-
37,2313037,8,BB,7,BC,10,AA,10,AA,8,BB,8,BB,5,CD,8,BB,8,BB,218,7.79,7.67,-
38,2313038,7,BC,5,CD,9,AB,9,AB,8,BB,8,BB,6,CC,8,BB,9,AB,208,7.43,7.82,-
39,2313039,7,BC,4,DD,10,AA,10,AA,9,AB,7,BC,6,CC,7,BC,8,BB,201,7.18,7.75,-
40,2313040,7,BC,6,CC,10,AA,9,AB,8,BB,8,BB,6,CC,7,BC,9,AB,210,7.50,7.53,-
41,2313041,7,BC,7,BC,9,AB,10,AA,9,AB,8,BB,7,BC,10,AA,10,AA,235,8.39,8.29,-
42,2313042,7,BC,8,BB,9,AB,10,AA,9,AB,10,AA,6,CC,10,AA,10,AA,243,8.68,8.98,-
43,2313043,6,CC,4,DD,8,BB,9,AB,9,AB,7,BC,0,F,4,DD,6,CC,151,5.39,6.11,-
44,2313044,7,BC,8,BB,9,AB,10,AA,9,AB,10,AA,6,CC,10,AA,9,AB,241,8.61,8.76,-
45,2313045,6,CC,5,CD,9,AB,9,AB,9,AB,8,BB,5,CD,7,BC,8,BB,197,7.04,7.38,-
46,2313046,7,BC,4,DD,9,AB,10,AA,9,AB,6,CC,6,CC,6,CC,8,BB,191,6.82,7.38,-
47,2313047,7,BC,5,CD,9,AB,10,AA,9,AB,7,BC,5,CD,7,BC,7,BC,197,7.04,7.35,-
48,2313048,6,CC,5,CD,9,AB,10,AA,8,BB,8,BB,5,CD,8,BB,8,BB,202,7.21,7.33,-
49,2313049,6,CC,4,DD,8,BB,8,BB,8,BB,7,BC,5,CD,6,CC,8,BB,178,6.36,6.69,-
50,2313050,5,CD,4,DD,8,BB,8,BB,9,AB,6,CC,7,BC,8,BB,7,BC,187,6.68,6.56,-
51,2313051,5,CD,5,CD,9,AB,8,BB,9,AB,6,CC,4,DD,7,BC,8,BB,179,6.39,7.25,-
52,2313052,7,BC,6,CC,9,AB,9,AB,9,AB,7,BC,4,DD,6,CC,7,BC,190,6.79,6.91,-
53,2313053,7,BC,5,CD,9,AB,9,AB,9,AB,8,BB,5,CD,8,BB,9,AB,206,7.36,7.07,-
54,2313054,7,BC,5,CD,9,AB,9,AB,7,BC,7,BC,4,DD,7,BC,8,BB,188,6.71,6.87,-
55,2313055,6,CC,5,CD,9,AB,9,AB,9,AB,8,BB,5,CD,7,BC,8,BB,197,7.04,7.69,-
56,2313056,7,BC,8,BB,9,AB,8,BB,9,AB,10,AA,9,AB,10,AA,9,AB,247,8.82,9.15,-
57,2313057,6,CC,6,CC,9,AB,9,AB,9,AB,7,BC,5,CD,8,BB,9,AB,203,7.25,7.6,-
58,2313058,8,BB,8,BB,9,AB,9,AB,9,AB,9,AB,9,AB,9,AB,10,AA,247,8.82,8.89,-
59,2313059,6,CC,5,CD,9,AB,9,AB,9,AB,9,AB,6,CC,7,BC,8,BB,205,7.32,7.33,-
60,2313060,6,CC,6,CC,9,AB,9,AB,9,AB,7,BC,5,CD,6,CC,8,BB,193,6.89,7.04,-
61,2313061,6,CC,4,DD,9,AB,10,AA,9,AB,7,BC,0,F,5,CD,9,AB,166,5.93,6.64,-
62,2313062,6,CC,5,CD,9,AB,9,AB,9,AB,8,BB,6,CC,8,BB,9,AB,207,7.39,7.73,-
63,2313063,7,BC,6,CC,9,AB,8,BB,9,AB,9,AB,5,CD,8,BB,8,BB,209,7.46,6.84,-
64,2313064,8,BB,7,BC,8,BB,9,AB,9,AB,9,AB,7,BC,9,AB,8,BB,229,8.18,8.42,-
65,2313065,8,BB,7,BC,9,AB,10,AA,9,AB,9,AB,7,BC,8,BB,9,AB,232,8.29,8.44,-
66,2313066,6,CC,6,CC,9,AB,9,AB,7,BC,9,AB,8,BB,8,BB,8,BB,217,7.75,8.42,-
67,2313067,7,BC,7,BC,10,AA,9,AB,8,BB,8,BB,7,BC,10,AA,9,AB,230,8.21,8.44,-
68,2313068,6,CC,4,DD,9,AB,8,BB,8,BB,6,CC,6,CC,7,BC,7,BC,182,6.50,6.25,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
69,2313069,7,BC,6,CC,9,AB,10,AA,9,AB,7,BC,6,CC,7,BC,9,AB,209,7.46,7.95,-
70,2313070,8,BB,7,BC,9,AB,9,AB,9,AB,10,AA,7,BC,10,AA,10,AA,243,8.68,8.87,-
71,2313071,6,CC,4,DD,9,AB,9,AB,8,BB,7,BC,6,CC,7,BC,8,BB,191,6.82,6.82,-
72,2313072,6,CC,6,CC,9,AB,9,AB,7,BC,7,BC,5,CD,8,BB,9,AB,199,7.11,7.25,-
73,2313073,8,BB,7,BC,9,AB,9,AB,5,CD,9,AB,7,BC,10,AA,9,AB,229,8.18,8.42,-
74,2313074,7,BC,6,CC,9,AB,9,AB,8,BB,9,AB,8,BB,7,BC,9,AB,220,7.86,7.95,-
75,2313075,7,BC,6,CC,9,AB,9,AB,8,BB,8,BB,7,BC,9,AB,9,AB,220,7.86,8.11,-
76,2313076,8,BB,5,CD,9,AB,9,AB,9,AB,7,BC,6,CC,8,BB,9,AB,209,7.46,7.58,-
77,2313077,5,CD,0,F,8,BB,8,BB,5,CD,6,CC,4,DD,4,DD,5,CD,131,4.68,5.24,-
78,2313078,7,BC,7,BC,9,AB,10,AA,9,AB,8,BB,6,CC,9,AB,9,AB,225,8.04,8.33,-
79,2313079,7,BC,8,BB,9,AB,9,AB,9,AB,8,BB,7,BC,9,AB,8,BB,228,8.14,8.53,-
80,2313080,8,BB,6,CC,9,AB,10,AA,9,AB,8,BB,5,CD,8,BB,9,AB,216,7.71,7.82,-
