regn_no,semester,subject_code,credits,grade_point,grade
2312001,4,CS 204,4,8.0,BB
2312001,4,CS 205,4,9.0,AB
2312001,4,CS 206,4,9.0,AB
2312001,4,CS 207,4,8.0,BB
2312001,4,CS 212,3,10.0,AA
2312001,4,CS 213,2,10.0,AA
2312001,4,CS 214,2,10.0,AA
2312001,4,CS 215,2,10.0,AA
2312001,4,MA 221,4,9.0,AB
2312002,4,CS 204,4,5.0,CD
2312002,4,CS 205,4,6.0,CC
2312002,4,CS 206,4,5.0,CD
2312002,4,CS 207,4,5.0,CD
2312002,4,CS 212,3,10.0,AA
2312002,4,CS 213,2,10.0,AA
2312002,4,CS 214,2,10.0,AA
2312002,4,CS 215,2,10.0,AA
2312002,4,MA 221,4,4.0,DD
2312003,4,CS 204,4,10.0,AA
2312003,4,CS 205,4,10.0,AA
2312003,4,CS 206,4,10.0,AA
2312003,4,CS 207,4,10.0,AA
2312003,4,CS 212,3,10.0,AA
2312003,4,CS 213,2,10.0,AA
2312003,4,CS 214,2,10.0,AA
2312003,4,CS 215,2,10.0,AA
2312003,4,MA 221,4,10.0,AA
2312004,4,CS 204,4,10.0,AA
2312004,4,CS 205,4,8.0,BB
2312004,4,CS 206,4,9.0,AB
2312004,4,CS 207,4,10.0,AA
2312004,4,CS 212,3,10.0,AA
2312004,4,CS 213,2,10.0,AA
2312004,4,CS 214,2,10.0,AA
2312004,4,CS 215,2,10.0,AA
2312004,4,MA 221,4,10.0,AA
2312005,4,CS 204,4,8.0,BB
2312005,4,CS 205,4,6.0,CC
2312005,4,CS 206,4,6.0,CC
2312005,4,CS 207,4,8.0,BB
2312005,4,CS 212,3,8.0,BB
2312005,4,CS 213,2,9.0,AB
2312005,4,CS 214,2,9.0,AB
2312005,4,CS 215,2,10.0,AA
2312005,4,MA 221,NA,,NA
2312006,4,CS 204,4,0.0,F
2312006,4,CS 205,4,6.0,CC
2312006,4,CS 206,4,5.0,CD
2312006,4,CS 207,4,5.0,CD
2312006,4,CS 212,3,8.0,BB
2312006,4,CS 213,2,8.0,BB
2312006,4,CS 214,2,9.0,AB
2312006,4,CS 215,2,10.0,AA
2312006,4,MA 221,4,4.0,DD
2312007,4,CS 204,4,6.0,CC
2312007,4,CS 205,4,7.0,BC
2312007,4,CS 206,4,5.0,CD
2312007,4,CS 207,4,7.0,BC
2312007,4,CS 212,3,8.0,BB
2312007,4,CS 213,2,10.0,AA
2312007,4,CS 214,2,10.0,AA
2312007,4,CS 215,2,10.0,AA
2312007,4,MA 221,4,4.0,DD
2312008,4,CS 204,4,7.0,BC
2312008,4,CS 205,4,7.0,BC
2312008,4,CS 206,4,5.0,CD
2312008,4,CS 207,4,6.0,CC
2312008,4,CS 212,3,9.0,AB
2312008,4,CS 213,2,9.0,AB
2312008,4,CS 214,2,9.0,AB
2312008,4,CS 215,2,9.0,AB
2312008,4,MA 221,4,6.0,CC
2312009,4,CS 204,4,4.0,DD
2312009,4,CS 205,4,7.0,BC
2312009,4,CS 206,4,5.0,CD
2312009,4,CS 207,4,5.0,CD
2312009,4,CS 212,3,8.0,BB
2312009,4,CS 213,2,9.0,AB
2312009,4,CS 214,2,10.0,AA
2312009,4,CS 215,2,9.0,AB
2312009,4,MA 221,4,5.0,CD
2312010,4,CS 204,4,7.0,BC
2312010,4,CS 205,4,6.0,CC
2312010,4,CS 206,4,5.0,CD
2312010,4,CS 207,4,7.0,BC
2312010,4,CS 212,3,8.0,BB
2312010,4,CS 213,2,9.0,AB
2312010,4,CS 214,2,10.0,AA
2312010,4,CS 215,2,10.0,AA
2312010,4,MA 221,4,6.0,CC
2312011,4,CS 204,4,7.0,BC
2312011,4,CS 205,4,7.0,BC
2312011,4,CS 206,4,7.0,BC
2312011,4,CS 207,4,7.0,BC
2312011,4,CS 212,3,8.0,BB
2312011,4,CS 213,2,9.0,AB
2312011,4,CS 214,2,10.0,AA
2312011,4,CS 215,2,10.0,AA
2312011,4,MA 221,4,8.0,BB
2312012,4,CS 204,4,7.0,BC
2312012,4,CS 205,4,8.0,BB
2312012,4,CS 206,4,5.0,CD
2312012,4,CS 207,4,5.0,CD
2312012,4,CS 212,3,8.0,BB
2312012,4,CS 213,2,10.0,AA
2312012,4,CS 214,2,10.0,AA
2312012,4,CS 215,2,10.0,AA
2312012,4,MA 221,4,7.0,BC
2312013,4,CS 204,4,6.0,CC
2312013,4,CS 205,4,6.0,CC
2312013,4,CS 206,4,4.0,DD
2312013,4,CS 207,4,6.0,CC
2312013,4,CS 212,3,8.0,BB
2312013,4,CS 213,2,10.0,AA
2312013,4,CS 214,2,9.0,AB
2312013,4,CS 215,2,10.0,AA
2312013,4,MA 221,4,7.0,BC
2312014,4,CS 204,4,8.0,BB
2312014,4,CS 205,4,6.0,CC
2312014,4,CS 206,4,5.0,CD
2312014,4,CS 207,4,6.0,CC
2312014,4,CS 212,3,8.0,BB
2312014,4,CS 213,2,9.0,AB
2312014,4,CS 214,2,10.0,AA
2312014,4,CS 215,2,10.0,AA
2312014,4,MA 221,4,6.0,CC
2312015,4,CS 204,4,6.0,CC
2312015,4,CS 205,4,6.0,CC
2312015,4,CS 206,4,6.0,CC
2312015,4,CS 207,4,5.0,CD
2312015,4,CS 212,3,10.0,AA
2312015,4,CS 213,2,10.0,AA
2312015,4,CS 214,2,9.0,AB
2312015,4,CS 215,2,10.0,AA
2312015,4,MA 221,4,4.0,DD
2312016,4,CS 204,4,4.0,DD
2312016,4,CS 205,4,6.0,CC
2312016,4,CS 206,4,0.0,F
2312016,4,CS 207,4,5.0,CD
2312016,4,CS 212,3,8.0,BB
2312016,4,CS 213,2,8.0,BB
2312016,4,CS 214,2,10.0,AA
2312016,4,CS 215,2,9.0,AB
2312016,4,MA 221,4,4.0,DD
2312017,4,CS 204,4,4.0,DD
2312017,4,CS 205,4,4.0,DD
2312017,4,CS 206,4,0.0,F
2312017,4,CS 207,4,4.0,DD
2312017,4,CS 212,3,8.0,BB
2312017,4,CS 213,2,9.0,AB
2312017,4,CS 214,2,9.0,AB
2312017,4,CS 215,2,10.0,AA
2312017,4,MA 221,4,4.0,DD
2312018,4,CS 204,4,0.0,F
2312018,4,CS 205,4,0.0,F
2312018,4,CS 206,4,0.0,F
2312018,4,CS 207,4,0.0,F
2312018,4,CS 212,3,8.0,BB
2312018,4,CS 213,2,8.0,BB
2312018,4,CS 214,2,10.0,AA
2312018,4,CS 215,2,9.0,AB
2312018,4,MA 221,4,4.0,DD
2312019,4,CS 204,4,9.0,AB
2312019,4,CS 205,4,7.0,BC
2312019,4,CS 206,4,9.0,AB
2312019,4,CS 207,4,9.0,AB
2312019,4,CS 212,3,9.0,AB
2312019,4,CS 213,2,10.0,AA
2312019,4,CS 214,2,10.0,AA
2312019,4,CS 215,2,10.0,AA
2312019,4,MA 221,4,9.0,AB
2312020,4,CS 204,4,9.0,AB
2312020,4,CS 205,4,6.0,CC
2312020,4,CS 206,4,10.0,AA
2312020,4,CS 207,4,9.0,AB
2312020,4,CS 212,3,9.0,AB
2312020,4,CS 213,2,10.0,AA
2312020,4,CS 214,2,10.0,AA
2312020,4,CS 215,2,10.0,AA
2312020,4,MA 221,4,9.0,AB
2312021,4,CS 204,4,10.0,AA
2312021,4,CS 205,4,9.0,AB
