regn_no,semester,subject_code,credits,grade_point,grade
2311054,6,CE 306,3,7.0,BC
2311054,6,CE 307,4,7.0,BC
2311054,6,CE 308,4,7.0,BC
2311054,6,CE 309,4,8.0,BB
2311054,6,CE 315,2,9.0,AB
2311054,6,CE 316,2,10.0,AA
2311054,6,CE 317,2,10.0,AA
2311054,6,CE 331,NA,,NA
2311054,6,CE 332,4,8.0,BB
2311054,6,CE 334,NA,,NA
2311054,6,CE 381,NA,,NA
2311054,6,CE 382,3,9.0,AB
2311054,6,CS 382,NA,,NA
2311054,6,EC 382,NA,,NA
2311054,6,EC 389,NA,,NA
2311054,6,EI 381,NA,,NA
2311055,6,CE 306,3,9.0,AB
2311055,6,CE 307,4,8.0,BB
2311055,6,CE 308,4,8.0,BB
2311055,6,CE 309,4,9.0,AB
2311055,6,CE 315,2,10.0,AA
2311055,6,CE 316,2,10.0,AA
2311055,6,CE 317,2,9.0,AB
2311055,6,CE 331,NA,,NA
2311055,6,CE 332,NA,,NA
2311055,6,CE 334,4,9.0,AB
2311055,6,CE 381,3,9.0,AB
2311055,6,CE 382,NA,,NA
2311055,6,CS 382,NA,,NA
2311055,6,EC 382,NA,,NA
2311055,6,EC 389,NA,,NA
2311055,6,EI 381,NA,,NA
2311056,6,CE 306,3,8.0,BB
2311056,6,CE 307,4,8.0,BB
2311056,6,CE 308,4,5.0,CD
2311056,6,CE 309,4,9.0,AB
2311056,6,CE 315,2,9.0,AB
2311056,6,CE 316,2,10.0,AA
2311056,6,CE 317,2,9.0,AB
2311056,6,CE 331,NA,,NA
2311056,6,CE 332,4,10.0,AA
2311056,6,CE 334,NA,,NA
2311056,6,CE 381,3,9.0,AB
2311056,6,CE 382,NA,,NA
2311056,6,CS 382,NA,,NA
2311056,6,EC 382,NA,,NA
2311056,6,EC 389,NA,,NA
2311056,6,EI 381,NA,,NA
2311057,6,CE 306,3,8.0,BB
2311057,6,CE 307,4,8.0,BB
2311057,6,CE 308,4,7.0,BC
2311057,6,CE 309,4,9.0,AB
2311057,6,CE 315,2,9.0,AB
2311057,6,CE 316,2,9.0,AB
2311057,6,CE 317,2,10.0,AA
2311057,6,CE 331,NA,,NA
2311057,6,CE 332,4,10.0,AA
2311057,6,CE 334,NA,,NA
2311057,6,CE 381,NA,,NA
2311057,6,CE 382,3,8.0,BB
2311057,6,CS 382,NA,,NA
2311057,6,EC 382,NA,,NA
2311057,6,EC 389,NA,,NA
2311057,6,EI 381,NA,,NA
2311059,6,CE 306,3,9.0,AB
2311059,6,CE 307,4,8.0,BB
2311059,6,CE 308,4,7.0,BC
2311059,6,CE 309,4,9.0,AB
2311059,6,CE 315,2,9.0,AB
2311059,6,CE 316,2,10.0,AA
2311059,6,CE 317,2,10.0,AA
2311059,6,CE 331,NA,,NA
2311059,6,CE 332,NA,,NA
2311059,6,CE 334,4,10.0,AA
2311059,6,CE 381,NA,,NA
2311059,6,CE 382,3,10.0,AA
2311059,6,CS 382,NA,,NA
2311059,6,EC 382,NA,,NA
2311059,6,EC 389,NA,,NA
2311059,6,EI 381,NA,,NA
2311060,6,CE 306,3,8.0,BB
2311060,6,CE 307,4,8.0,BB
2311060,6,CE 308,4,9.0,AB
2311060,6,CE 309,4,8.0,BB
2311060,6,CE 315,2,10.0,AA
2311060,6,CE 316,2,10.0,AA
2311060,6,CE 317,2,10.0,AA
2311060,6,CE 331,NA,,NA
2311060,6,CE 332,NA,,NA
2311060,6,CE 334,4,9.0,AB
2311060,6,CE 381,3,9.0,AB
2311060,6,CE 382,NA,,NA
2311060,6,CS 382,NA,,NA
2311060,6,EC 382,NA,,NA
2311060,6,EC 389,NA,,NA
2311060,6,EI 381,NA,,NA
2311061,6,CE 306,3,9.0,AB
2311061,6,CE 307,4,8.0,BB
2311061,6,CE 308,4,8.0,BB
2311061,6,CE 309,4,9.0,AB
2311061,6,CE 315,2,10.0,AA
2311061,6,CE 316,2,10.0,AA
2311061,6,CE 317,2,9.0,AB
2311061,6,CE 331,NA,,NA
2311061,6,CE 332,NA,,NA
2311061,6,CE 334,4,8.0,BB
2311061,6,CE 381,3,9.0,AB
2311061,6,CE 382,NA,,NA
2311061,6,CS 382,NA,,NA
2311061,6,EC 382,NA,,NA
2311061,6,EC 389,NA,,NA
2311061,6,EI 381,NA,,NA
2311062,6,CE 306,3,9.0,AB
2311062,6,CE 307,4,9.0,AB
2311062,6,CE 308,4,6.0,CC
2311062,6,CE 309,4,8.0,BB
2311062,6,CE 315,2,10.0,AA
2311062,6,CE 316,2,10.0,AA
2311062,6,CE 317,2,10.0,AA
2311062,6,CE 331,NA,,NA
2311062,6,CE 332,4,9.0,AB
2311062,6,CE 334,NA,,NA
2311062,6,CE 381,NA,,NA
2311062,6,CE 382,3,10.0,AA
2311062,6,CS 382,NA,,NA
2311062,6,EC 382,NA,,NA
2311062,6,EC 389,NA,,NA
2311062,6,EI 381,NA,,NA
2311063,6,CE 306,3,9.0,AB
2311063,6,CE 307,4,9.0,AB
2311063,6,CE 308,4,9.0,AB
2311063,6,CE 309,4,9.0,AB
2311063,6,CE 315,2,10.0,AA
2311063,6,CE 316,2,10.0,AA
2311063,6,CE 317,2,10.0,AA
2311063,6,CE 331,NA,,NA
2311063,6,CE 332,4,10.0,AA
2311063,6,CE 334,NA,,NA
2311063,6,CE 381,NA,,NA
2311063,6,CE 382,3,8.0,BB
2311063,6,CS 382,NA,,NA
2311063,6,EC 382,NA,,NA
2311063,6,EC 389,NA,,NA
2311063,6,EI 381,NA,,NA
2311064,6,CE 306,3,8.0,BB
2311064,6,CE 307,4,6.0,CC
2311064,6,CE 308,4,5.0,CD
2311064,6,CE 309,4,6.0,CC
2311064,6,CE 315,2,9.0,AB
2311064,6,CE 316,2,10.0,AA
2311064,6,CE 317,2,10.0,AA
2311064,6,CE 331,NA,,NA
2311064,6,CE 332,4,7.0,BC
2311064,6,CE 334,NA,,NA
2311064,6,CE 381,NA,,NA
2311064,6,CE 382,3,7.0,BC
