regn_no,semester,GP,SGPA,CGPA,EAA
2313100,5,234.0,8.67,8.17,Satisfactory
2313101,5,122.0,4.52,6.14,Satisfactory
2313102,5,182.0,6.74,7.15,Satisfactory
2313103,5,205.0,7.59,7.46,Satisfactory
2313104,5,161.0,5.96,6.26,Satisfactory
2313105,5,160.0,5.93,6.02,Satisfactory
2313106,5,190.0,7.04,7.32,Satisfactory
2313107,5,180.0,6.67,6.75,Satisfactory
2313109,5,230.0,8.52,8.2,Satisfactory
2313110,5,156.0,5.78,6.52,Satisfactory
2313111,5,199.0,7.37,7.32,Satisfactory
2313112,5,217.0,8.04,7.36,Satisfactory
2313114,5,114.0,4.22,5.54,Satisfactory
2313115,5,220.0,8.15,8.22,Satisfactory
2313116,5,215.0,7.96,8.0,Satisfactory
2313118,5,246.0,9.11,8.85,Satisfactory
2313120,5,232.0,8.59,8.15,Satisfactory
2313121,5,224.0,8.3,8.27,Satisfactory
2313122,5,124.0,4.59,5.02,Satisfactory
2313123,5,186.0,6.89,6.52,Satisfactory
2313124,5,222.0,8.22,7.94,Satisfactory
2313125,5,202.0,7.48,6.53,Satisfactory
2313126,5,199.0,7.37,7.35,Satisfactory
2313127,5,165.0,6.11,6.09,Satisfactory
2313128,5,204.0,7.56,7.22,Satisfactory
2313129,5,184.0,6.81,6.63,Satisfactory
2313130,5,193.0,7.15,6.91,Satisfactory
2313132,5,0.0,0.0,,Satisfactory
2313133,5,182.0,6.74,6.47,Satisfactory
2313134,5,122.0,4.52,5.41,Satisfactory
2313135,5,195.0,7.22,5.75,Satisfactory
2313136,5,213.0,7.89,7.09,Satisfactory
2313137,5,113.0,4.19,5.21,Satisfactory
2313138,5,254.0,9.41,9.08,Satisfactory
2313139,5,144.0,5.33,6.32,Satisfactory
2313140,5,211.0,7.81,7.37,Satisfactory
2313141,5,252.0,9.33,8.83,Satisfactory
2313142,5,218.0,8.07,8.47,Satisfactory
2313143,5,201.0,7.44,8.47,Satisfactory
2313144,5,201.0,7.44,7.19,Satisfactory
2313145,5,191.0,7.07,7.83,Satisfactory
2313146,5,171.0,6.33,7.14,Satisfactory
2313149,5,252.0,9.33,8.81,Satisfactory
2313150,5,194.0,7.19,6.83,Satisfactory
2313151,5,224.0,8.3,7.52,Satisfactory
2313152,5,195.0,7.22,6.5,Satisfactory
2313153,5,258.0,9.56,8.62,Satisfactory
2313154,5,238.0,8.81,8.59,Satisfactory
2313155,5,183.0,6.78,7.22,Satisfactory
2313156,5,183.0,6.78,7.23,Satisfactory
2313157,5,192.0,7.11,4.72,Satisfactory
2313159,5,211.0,7.81,7.88,Satisfactory
2313160,5,205.0,7.59,7.46,Satisfactory
2313161,5,170.0,6.3,6.6,Satisfactory
2313162,5,50.0,1.85,3.31,Satisfactory
2313164,5,74.0,2.74,4.43,Satisfactory
2313165,5,208.0,7.7,7.95,Satisfactory
2313166,5,218.0,8.07,8.38,Satisfactory
2313167,5,231.0,8.56,8.4,Satisfactory
2313168,5,219.0,8.11,7.85,Satisfactory
2313169,5,220.0,8.15,8.3,Satisfactory
2313170,5,238.0,8.81,8.27,Satisfactory
2313171,5,228.0,8.44,8.37,Satisfactory
2314001,5,221.0,8.19,7.91,Satisfactory
2314002,5,187.0,6.93,6.54,Satisfactory
2314003,5,136.0,5.04,6.63,Satisfactory
2314004,5,236.0,8.74,8.3,Satisfactory
2314005,5,211.0,7.81,7.7,Satisfactory
2314006,5,207.0,7.67,7.6,Satisfactory
2314007,5,174.0,6.44,6.93,Satisfactory
2314008,5,230.0,8.52,6.88,Satisfactory
2314009,5,225.0,8.33,7.19,Satisfactory
2314010,5,241.0,8.93,8.16,Satisfactory
2314012,5,253.0,9.37,8.76,Satisfactory
2314013,5,238.0,8.81,8.37,Satisfactory
2314014,5,209.0,7.74,8.39,Satisfactory
2314015,5,219.0,8.11,8.13,Satisfactory
2314016,5,231.0,8.56,8.45,Satisfactory
2314017,5,232.0,8.59,8.6,Satisfactory
2314018,5,210.0,7.78,7.5,Satisfactory
2314019,5,183.0,6.78,6.91,Satisfactory
2314020,5,226.0,8.37,8.47,Satisfactory
2314021,5,121.0,4.48,4.99,Satisfactory
2314022,5,201.0,7.44,6.68,Satisfactory
2314023,5,227.0,8.41,7.96,Satisfactory
2314024,5,262.0,9.7,9.12,Satisfactory
2314025,5,242.0,8.96,8.12,Satisfactory
2314026,5,215.0,7.96,8.39,Satisfactory
2314027,5,0.0,0.0,5.6,Satisfactory
2314028,5,174.0,6.44,6.86,Satisfactory
2314029,5,187.0,6.93,6.73,Satisfactory
2314030,5,248.0,9.19,9.04,Satisfactory
2314031,5,199.0,7.37,7.73,Satisfactory
2314032,5,232.0,8.59,8.29,Satisfactory
2314033,5,174.0,6.44,6.24,Satisfactory
2314034,5,217.0,8.04,7.77,Satisfactory
2314035,5,245.0,9.07,8.46,Satisfactory
2314036,5,237.0,8.78,8.97,Satisfactory
2314037,5,191.0,7.07,8.08,Satisfactory
2314038,5,196.0,7.26,7.75,Satisfactory
2314040,5,58.0,2.15,6.27,Satisfactory
2314041,5,197.0,7.3,7.69,Satisfactory
2314042,5,161.0,5.96,5.97,Satisfactory
2314043,5,176.0,6.52,6.89,Satisfactory
2314044,5,221.0,8.19,8.53,Satisfactory
2314045,5,223.0,8.26,8.24,Satisfactory
2314046,5,219.0,8.11,8.19,Satisfactory
2314047,5,196.0,7.26,7.68,Satisfactory
2314048,5,198.0,7.33,7.88,Satisfactory
2314049,5,207.0,7.67,7.91,Satisfactory
2314051,5,220.0,8.15,8.23,Satisfactory
2314052,5,213.0,7.89,7.6,Satisfactory
2314054,5,240.0,8.89,8.76,Satisfactory
2314055,5,242.0,8.96,8.47,Satisfactory
2314056,5,215.0,7.96,7.81,Satisfactory
2314057,5,163.0,6.04,6.81,Satisfactory
2314058,5,235.0,8.7,8.53,Satisfactory
2314059,5,236.0,8.74,8.92,Satisfactory
2314060,5,231.0,8.56,8.19,Satisfactory
2314061,5,200.0,7.41,7.27,Satisfactory
2314063,5,236.0,8.74,8.53,Satisfactory
2314065,5,151.0,5.59,6.04,Satisfactory
2314066,5,219.0,8.11,8.27,Satisfactory
2314067,5,247.0,9.15,8.96,Satisfactory
2314068,5,206.0,7.63,7.93,Satisfactory
2314069,5,205.0,7.59,8.03,Satisfactory
2314070,5,204.0,7.56,7.24,Satisfactory
2314071,5,227.0,8.41,8.31,Satisfactory
2314072,5,162.0,6.0,6.1,Satisfactory
2314073,5,193.0,7.15,7.55,Satisfactory
2314074,5,185.0,6.85,6.81,Satisfactory
2314075,5,202.0,7.48,6.74,Satisfactory
2314076,5,220.0,8.15,8.26,Satisfactory
2314077,5,252.0,9.33,8.7,Satisfactory
2314078,5,204.0,7.56,7.42,Satisfactory
2314079,5,246.0,9.11,9.14,Satisfactory
2314080,5,222.0,8.22,7.85,Satisfactory
2314081,5,136.0,5.04,5.5,Satisfactory
2314082,5,230.0,8.52,7.95,Satisfactory
2314083,5,235.0,8.7,8.78,Satisfactory
2314084,5,210.0,7.78,7.77,Satisfactory
2314085,5,264.0,9.78,9.09,Satisfactory
2314086,5,210.0,7.78,7.63,Satisfactory
2314087,5,202.0,7.48,7.65,Satisfactory
2314088,5,208.0,7.7,7.63,Satisfactory
2314089,5,256.0,9.48,8.22,Satisfactory
2314090,5,197.0,7.3,7.2,Satisfactory
2314091,5,231.0,8.56,8.35,Satisfactory
2314092,5,241.0,8.93,8.79,Satisfactory
2314093,5,226.0,8.37,8.31,Satisfactory
2314094,5,236.0,8.74,8.49,Satisfactory
2314095,5,213.0,7.89,8.09,Satisfactory
2314096,5,231.0,8.56,8.87,Satisfactory
2314097,5,245.0,9.07,8.87,Satisfactory
2314099,5,208.0,7.7,7.06,Satisfactory
2314100,5,247.0,9.15,8.33,Satisfactory
2314102,5,184.0,6.81,6.2,Satisfactory
2314103,5,151.0,6.29,6.39,Satisfactory
2314104,5,256.0,9.48,8.81,Satisfactory
2314105,5,224.0,8.3,7.97,Satisfactory
2314106,5,222.0,8.22,8.6,Satisfactory
2314107,5,236.0,8.74,8.37,Satisfactory
2314108,5,246.0,9.11,8.63,Satisfactory
2314109,5,177.0,6.56,6.31,Satisfactory
2314110,5,244.0,9.04,8.68,Satisfactory
2314111,5,244.0,9.04,8.6,Satisfactory
2314112,5,213.0,7.89,7.88,Satisfactory
2314113,5,230.0,8.52,8.06,Satisfactory
2314114,5,206.0,7.63,7.76,Satisfactory
2314115,5,239.0,8.85,8.01,Satisfactory
2314116,5,224.0,8.3,7.21,Satisfactory
2314117,5,119.0,4.41,5.71,Satisfactory
2314118,5,240.0,8.89,8.44,Satisfactory
2314119,5,142.0,5.26,5.89,Satisfactory
2314120,5,222.0,8.22,7.67,Satisfactory
2314121,5,225.0,8.33,7.65,Satisfactory
2314122,5,224.0,8.3,8.4,Satisfactory
2314123,5,207.0,7.67,7.2,Satisfactory
2314124,5,225.0,8.33,8.52,Satisfactory
2314125,5,199.0,7.37,7.57,Satisfactory
2314126,5,200.0,7.41,7.59,Satisfactory
2314127,5,204.0,7.56,8.04,Satisfactory
2314128,5,189.0,7.0,7.06,Satisfactory
2314129,5,181.0,6.7,7.14,Satisfactory
2314130,5,212.0,7.85,7.69,Satisfactory
2314131,5,179.0,6.63,7.23,Satisfactory
2314132,5,138.0,5.11,5.77,Satisfactory
2314133,5,250.0,9.26,8.59,Satisfactory
2314134,5,178.0,6.59,6.63,Satisfactory
2314136,5,204.0,7.56,7.32,Satisfactory
2314137,5,169.0,6.26,6.3,Satisfactory
2314138,5,202.0,7.48,6.95,Satisfactory
2314139,5,222.0,8.22,8.21,Satisfactory
2314140,5,200.0,7.41,6.98,Satisfactory
2314141,5,227.0,8.41,8.79,Satisfactory
2314142,5,237.0,8.78,8.62,Satisfactory
2314143,5,206.0,7.63,7.53,Satisfactory
2314144,5,242.0,8.96,9.01,Satisfactory
2314145,5,168.0,6.22,6.42,Satisfactory
2314146,5,224.0,8.3,8.68,Satisfactory
2314147,5,236.0,8.74,8.5,Satisfactory
2314148,5,224.0,8.3,8.34,Satisfactory
2314149,5,228.0,8.44,7.98,Satisfactory
2314151,5,222.0,8.22,8.21,Satisfactory
2314152,5,261.0,9.67,8.75,Satisfactory
2314153,5,221.0,8.19,7.37,Satisfactory
2314154,5,239.0,8.85,8.82,Satisfactory
2314155,5,202.0,7.48,7.42,Satisfactory
2314156,5,197.0,7.3,7.37,Satisfactory
2314157,5,235.0,8.7,8.26,Satisfactory
2314158,5,212.0,7.85,7.16,Satisfactory
2314159,5,177.0,6.56,6.84,Satisfactory
2314160,5,222.0,8.22,8.13,Satisfactory
2314161,5,161.0,6.71,5.84,Satisfactory
2314162,5,78.0,2.89,3.95,Satisfactory
2314163,5,89.0,3.3,4.59,Satisfactory
2314164,5,187.0,6.93,6.54,Satisfactory
2314165,5,270.0,10.0,9.59,Satisfactory
2314166,5,247.0,9.15,9.03,Satisfactory
2314167,5,244.0,9.04,8.89,Satisfactory
2314168,5,260.0,9.63,9.26,Satisfactory
2314169,5,199.0,7.37,8.57,Satisfactory
2314170,5,260.0,9.63,9.37,Satisfactory
2314171,5,239.0,8.85,9.07,Satisfactory
2314172,5,210.0,7.78,8.55,Satisfactory
2314173,5,253.0,9.37,9.02,Satisfactory
2314174,5,231.0,8.56,8.6,Satisfactory
2314175,5,204.0,7.56,8.15,Satisfactory
2314176,5,256.0,9.48,9.12,Satisfactory
2314177,5,235.0,8.7,8.76,Satisfactory
2314178,5,262.0,9.7,9.12,Satisfactory
2314179,5,262.0,9.7,9.31,Satisfactory
2314180,5,261.0,9.67,8.99,Satisfactory
2314181,5,235.0,8.7,8.42,Satisfactory
2314182,5,257.0,9.52,8.93,Satisfactory
