regn_no,semester,subject_code,credits,grade_point,grade
2311001,5,CE 301,4,9.0,AB
2311001,5,CE 302,4,8.0,BB
2311001,5,CE 303,4,10.0,AA
2311001,5,CE 304,4,7.0,BC
2311001,5,CE 305,4,7.0,BC
2311001,5,CE 311,2,10.0,AA
2311001,5,CE 312,2,10.0,AA
2311001,5,CE 313,2,10.0,AA
2311001,5,CE 314,2,10.0,AA
2311002,5,CE 301,4,6.0,CC
2311002,5,CE 302,4,0.0,F
2311002,5,CE 303,4,8.0,BB
2311002,5,CE 304,4,0.0,F
2311002,5,CE 305,4,0.0,F
2311002,5,CE 311,2,9.0,AB
2311002,5,CE 312,2,10.0,AA
2311002,5,CE 313,2,9.0,AB
2311002,5,CE 314,2,7.0,BC
2311003,5,CE 301,4,8.0,BB
2311003,5,CE 302,4,5.0,CD
2311003,5,CE 303,4,8.0,BB
2311003,5,CE 304,4,5.0,CD
2311003,5,CE 305,4,6.0,CC
2311003,5,CE 311,2,9.0,AB
2311003,5,CE 312,2,9.0,AB
2311003,5,CE 313,2,8.0,BB
2311003,5,CE 314,2,8.0,BB
2311004,5,CE 301,4,7.0,BC
2311004,5,CE 302,4,6.0,CC
2311004,5,CE 303,4,6.0,CC
2311004,5,CE 304,4,5.0,CD
2311004,5,CE 305,4,4.0,DD
2311004,5,CE 311,2,9.0,AB
2311004,5,CE 312,2,10.0,AA
2311004,5,CE 313,2,9.0,AB
2311004,5,CE 314,2,9.0,AB
2311005,5,CE 301,4,9.0,AB
2311005,5,CE 302,4,7.0,BC
2311005,5,CE 303,4,9.0,AB
2311005,5,CE 304,4,9.0,AB
2311005,5,CE 305,4,6.0,CC
2311005,5,CE 311,2,10.0,AA
2311005,5,CE 312,2,10.0,AA
2311005,5,CE 313,2,9.0,AB
2311005,5,CE 314,2,9.0,AB
2311006,5,CE 301,4,8.0,BB
2311006,5,CE 302,4,6.0,CC
2311006,5,CE 303,4,9.0,AB
2311006,5,CE 304,4,7.0,BC
2311006,5,CE 305,4,5.0,CD
2311006,5,CE 311,2,10.0,AA
2311006,5,CE 312,2,10.0,AA
2311006,5,CE 313,2,9.0,AB
2311006,5,CE 314,2,9.0,AB
2311007,5,CE 301,4,8.0,BB
2311007,5,CE 302,4,6.0,CC
2311007,5,CE 303,4,7.0,BC
2311007,5,CE 304,4,6.0,CC
2311007,5,CE 305,4,6.0,CC
