regn_no,semester,GP,SGPA,CGPA,EAA
2311001,2,227.0,8.41,7.62,Satisfactory
2311002,2,125.0,4.63,4.65,Satisfactory
2311003,2,149.0,5.52,5.56,Satisfactory
2311004,2,162.0,6.0,5.91,Satisfactory
2311005,2,221.0,8.19,6.95,Satisfactory
2311006,2,158.0,5.85,2.87,Satisfactory
2311007,2,164.0,6.07,5.87,Satisfactory
2311008,2,173.0,6.41,6.24,Satisfactory
2311009,2,181.0,6.7,6.33,Satisfactory
2311010,2,236.0,8.74,8.02,Satisfactory
2311011,2,219.0,8.11,7.65,Satisfactory
2311012,2,223.0,8.26,7.31,Satisfactory
2311013,2,200.0,7.41,7.33,Satisfactory
2311014,2,212.0,7.85,7.51,Satisfactory
2311015,2,164.0,6.07,5.24,Satisfactory
2311016,2,0.0,0.0,0.0,Satisfactory
2311017,2,201.0,7.44,7.33,Satisfactory
2311018,2,228.0,8.44,8.33,Satisfactory
2311019,2,191.0,7.07,6.69,Satisfactory
2311020,2,227.0,8.41,8.07,Satisfactory
2311021,2,168.0,6.22,5.95,Satisfactory
2311022,2,214.0,7.93,7.75,Satisfactory
2311023,2,173.0,6.41,5.98,Satisfactory
2311024,2,204.0,7.56,7.09,Satisfactory
2311025,2,144.0,5.33,4.47,Satisfactory
2311026,2,225.0,8.33,8.15,Satisfactory
2311027,2,236.0,8.74,8.62,Satisfactory
2311028,2,235.0,8.7,8.49,Satisfactory
2311029,2,207.0,7.67,7.71,Satisfactory
2311030,2,169.0,6.26,5.49,Satisfactory
2311031,2,256.0,9.48,9.29,Satisfactory
2311032,2,219.0,8.11,7.93,Satisfactory
2311033,2,251.0,9.3,9.02,Satisfactory
2311034,2,219.0,8.11,7.69,Satisfactory
2311035,2,200.0,7.41,7.24,Satisfactory
2311036,2,206.0,7.63,7.62,Satisfactory
2311037,2,215.0,7.96,7.93,Satisfactory
2311038,2,236.0,8.74,8.64,Satisfactory
2311039,2,189.0,7.0,6.42,Satisfactory
2311040,2,140.0,5.19,4.76,Satisfactory
2311041,2,227.0,8.41,8.22,Satisfactory
2311042,2,182.0,6.74,6.87,Satisfactory
2311043,2,188.0,6.96,7.15,Satisfactory
2311044,2,184.0,6.81,6.4,Satisfactory
2311045,2,146.0,5.41,4.56,Satisfactory
2311046,2,238.0,8.81,8.6,Satisfactory
2311047,2,162.0,6.0,5.89,Satisfactory
2311048,2,230.0,8.52,7.84,Satisfactory
2311049,2,161.0,5.96,5.29,Satisfactory
2311050,2,188.0,6.96,6.67,Satisfactory
2311051,2,166.0,6.15,5.76,Satisfactory
2311052,2,202.0,7.48,6.87,Satisfactory
2311053,2,169.0,6.26,5.65,Satisfactory
2311054,2,195.0,7.22,6.82,Satisfactory
2311055,2,201.0,7.44,7.04,Satisfactory
2311056,2,207.0,7.67,7.4,Satisfactory
2311057,2,205.0,7.59,6.96,Satisfactory
2311059,2,201.0,7.44,6.78,Satisfactory
2311060,2,228.0,8.44,7.55,Satisfactory
2311061,2,223.0,8.26,7.93,Satisfactory
2311062,2,215.0,7.96,7.98,Satisfactory
2311063,2,224.0,8.3,7.84,Satisfactory
2311064,2,206.0,7.63,6.84,Satisfactory
2311065,2,164.0,6.07,5.91,Satisfactory
2311066,2,204.0,7.56,7.29,Satisfactory
2311067,2,177.0,6.56,6.53,Satisfactory
2311068,2,231.0,8.56,8.25,Satisfactory
2311069,2,162.0,6.0,6.09,Satisfactory
2311070,2,234.0,8.67,8.36,Satisfactory
2311071,2,224.0,8.3,7.05,Satisfactory
2311072,2,219.0,8.11,7.82,Satisfactory
2311073,2,211.0,7.81,7.58,Satisfactory
2311074,2,194.0,7.19,6.82,Satisfactory
2311075,2,190.0,7.04,6.55,Satisfactory
2311076,2,190.0,7.04,5.98,Satisfactory
2311077,2,207.0,7.67,7.31,Satisfactory
2311078,2,207.0,7.67,7.51,Satisfactory
2311079,2,230.0,8.52,8.38,Satisfactory
2311080,2,216.0,8.0,7.62,Satisfactory
2311081,2,169.0,6.26,5.84,Satisfactory
2311082,2,198.0,7.33,7.18,Satisfactory
2311083,2,189.0,7.0,6.4,Satisfactory
2311084,2,208.0,7.7,7.2,Satisfactory
2311085,2,165.0,6.11,5.6,Satisfactory
2311086,2,187.0,6.93,6.45,Satisfactory
2311087,2,161.0,5.96,5.71,Satisfactory
2311088,2,147.0,5.44,4.64,Satisfactory
2311089,2,144.0,5.33,4.91,Satisfactory
2311090,2,136.0,5.04,3.58,Satisfactory
2311091,2,156.0,5.78,4.6,Satisfactory
2311092,2,213.0,7.89,7.93,Satisfactory
2311093,2,185.0,6.85,6.38,Satisfactory
2311094,2,230.0,8.52,8.02,Satisfactory
2311095,2,170.0,6.3,6.31,Satisfactory
2311096,2,211.0,7.81,7.07,Satisfactory
2311097,2,89.0,3.3,3.04,Satisfactory
2311098,2,209.0,7.74,7.15,Satisfactory
2311099,2,239.0,8.85,8.25,Satisfactory
2311100,2,214.0,7.93,7.51,Satisfactory
2311101,2,217.0,8.04,7.33,Satisfactory
2311102,2,188.0,6.96,6.24,Satisfactory
2311103,2,198.0,7.33,7.42,Satisfactory
2311104,2,208.0,7.7,7.38,Satisfactory
2311105,2,226.0,8.37,8.24,Satisfactory
2311106,2,208.0,7.7,7.2,Satisfactory
2311107,2,196.0,7.26,6.51,Satisfactory
2311108,2,226.0,8.37,7.58,Satisfactory
2311109,2,182.0,6.74,5.27,Satisfactory
2311110,2,189.0,7.0,7.22,Satisfactory
2311111,2,169.0,6.26,5.71,Satisfactory
2311112,2,162.0,6.0,5.2,Satisfactory
2311113,2,205.0,7.59,6.55,Satisfactory
2311114,2,152.0,5.63,4.64,Satisfactory
2311115,2,109.0,4.04,3.24,Satisfactory
2311116,2,176.0,6.52,6.05,Satisfactory
2311117,2,194.0,7.19,6.36,Satisfactory
2311118,2,166.0,6.15,5.25,Satisfactory
2311119,2,226.0,8.37,7.85,Satisfactory
2311120,2,199.0,7.37,7.36,Satisfactory
2311121,2,207.0,7.67,7.31,Satisfactory
2311122,2,170.0,6.3,6.05,Satisfactory
2311123,2,163.0,6.04,4.98,Satisfactory
2311124,2,158.0,5.85,5.47,Satisfactory
2311125,2,210.0,7.78,6.89,Satisfactory
2311126,2,180.0,6.67,6.16,Satisfactory
2311127,2,193.0,7.15,6.67,Satisfactory
2311128,2,225.0,8.33,8.35,Satisfactory
2311130,2,186.0,6.89,6.45,Satisfactory
2311131,2,179.0,6.63,5.89,Satisfactory
2311132,2,193.0,7.15,6.96,Satisfactory
2311133,2,251.0,9.3,8.65,Satisfactory
2311134,2,220.0,8.15,7.56,Satisfactory
2311135,2,186.0,6.89,6.65,Satisfactory
2311136,2,204.0,7.56,7.44,Satisfactory
2311137,2,229.0,8.48,8.18,Satisfactory
2311138,2,222.0,8.22,8.02,Satisfactory
2311139,2,86.0,3.19,3.04,Satisfactory
2311140,2,252.0,9.33,9.45,Satisfactory
2311141,2,226.0,8.37,7.89,Satisfactory
2311142,2,232.0,8.59,7.53,Satisfactory
2311143,2,222.0,8.22,7.85,Satisfactory
2311144,2,195.0,7.22,7.07,Satisfactory
2311145,2,177.0,6.56,6.67,Satisfactory
2311146,2,224.0,8.3,7.87,Satisfactory
2311147,2,204.0,7.56,7.47,Satisfactory
2311148,2,248.0,9.19,8.42,Satisfactory
2311149,2,198.0,7.33,7.33,Satisfactory
2311150,2,211.0,7.81,7.75,Satisfactory
2311151,2,147.0,5.44,4.18,Satisfactory
2311152,2,125.0,4.63,3.67,Satisfactory
2311153,2,146.0,5.41,5.36,Satisfactory
2311154,2,192.0,7.11,5.45,Satisfactory
2311155,2,76.0,2.81,2.73,Satisfactory
2311156,2,161.0,5.96,3.93,Satisfactory
2312001,2,204.0,7.29,7.64,Satisfactory
2312002,2,164.0,5.86,6.2,Satisfactory
2312003,2,258.0,9.21,9.29,Satisfactory
2312004,2,258.0,9.21,9.16,Satisfactory
2312005,2,192.0,6.86,7.16,Satisfactory
2312006,2,122.0,4.36,5.2,Satisfactory
2312007,2,170.0,6.07,6.33,Satisfactory
2312008,2,180.0,6.43,6.55,Satisfactory
2312009,2,180.0,6.43,6.49,Satisfactory
2312010,2,180.0,6.43,6.8,Satisfactory
2312011,2,229.0,8.18,8.29,Satisfactory
2312012,2,228.0,8.14,7.98,Satisfactory
2312013,2,139.0,4.96,5.82,Satisfactory
2312014,2,211.0,7.54,6.69,Satisfactory
2312015,2,172.0,6.14,6.73,Satisfactory
2312016,2,133.0,4.75,5.36,Satisfactory
2312017,2,107.0,3.82,4.33,Satisfactory
2312018,2,122.0,4.36,4.49,Satisfactory
2312019,2,231.0,8.25,8.45,Satisfactory
2312020,2,240.0,8.57,8.91,Satisfactory
2312021,2,261.0,9.32,9.47,Satisfactory
2312022,2,141.0,5.04,5.36,Satisfactory
2312023,2,196.0,7.0,6.89,Satisfactory
2312024,2,228.0,8.14,8.13,Satisfactory
2312025,2,253.0,9.04,8.75,Satisfactory
2312026,2,221.0,7.89,7.49,Satisfactory
2312027,2,0.0,0.0,2.64,Satisfactory
2312028,2,226.0,8.07,8.47,Satisfactory
2312029,2,243.0,8.68,8.35,Satisfactory
2312030,2,226.0,8.07,8.02,Satisfactory
2312031,2,208.0,7.43,7.47,Satisfactory
2312032,2,193.0,6.89,7.56,Satisfactory
2312033,2,231.0,8.25,8.45,Satisfactory
2312034,2,206.0,7.36,7.05,Satisfactory
2312035,2,217.0,7.75,7.76,Satisfactory
2312036,2,184.0,6.57,6.89,Satisfactory
2312037,2,247.0,8.82,8.82,Satisfactory
2312038,2,247.0,8.82,8.22,Satisfactory
2312039,2,217.0,7.75,7.38,Satisfactory
2312040,2,181.0,6.46,7.16,Satisfactory
2312041,2,227.0,8.11,7.42,Satisfactory
2312042,2,208.0,7.43,6.8,Satisfactory
2312043,2,220.0,7.86,7.64,Satisfactory
2312044,2,218.0,7.79,7.82,Satisfactory
2312045,2,222.0,7.93,7.58,Satisfactory
2312046,2,198.0,7.07,6.65,Satisfactory
2312047,2,240.0,8.57,8.69,Satisfactory
2312048,2,206.0,7.36,7.45,Satisfactory
2312049,2,176.0,6.29,6.36,Satisfactory
2312050,2,88.0,3.14,3.96,Satisfactory
2312051,2,193.0,6.89,7.11,Satisfactory
2312052,2,236.0,8.43,8.2,Satisfactory
2312053,2,258.0,9.21,8.85,Satisfactory
2312054,2,242.0,8.64,8.6,Satisfactory
2312055,2,214.0,7.64,7.42,Satisfactory
2312056,2,241.0,8.61,8.42,Satisfactory
2312057,2,224.0,8.0,8.13,Satisfactory
2312058,2,181.0,6.46,6.71,Satisfactory
2312059,2,226.0,8.07,7.89,Satisfactory
2312060,2,236.0,8.43,8.58,Satisfactory
2312061,2,233.0,8.32,8.31,Satisfactory
2312062,2,193.0,6.89,6.65,Satisfactory
2312063,2,207.0,7.39,7.38,Satisfactory
2312064,2,214.0,7.64,7.75,Satisfactory
2312065,2,193.0,6.89,7.13,Satisfactory
2312066,2,205.0,7.32,7.16,Satisfactory
2312067,2,207.0,7.39,7.29,Satisfactory
2312068,2,209.0,7.46,7.44,Satisfactory
2312069,2,229.0,8.18,8.55,Satisfactory
2312070,2,212.0,7.57,7.29,Satisfactory
2312071,2,235.0,8.39,7.89,Satisfactory
2312072,2,261.0,9.32,9.35,Satisfactory
2312073,2,254.0,9.07,9.13,Satisfactory
2312074,2,222.0,7.93,7.82,Satisfactory
2312075,2,247.0,8.82,8.47,Satisfactory
2312076,2,252.0,9.0,8.95,Satisfactory
2312077,2,205.0,7.32,7.49,Satisfactory
2312078,2,255.0,9.11,8.69,Satisfactory
2312079,2,213.0,7.61,7.96,Satisfactory
2312080,2,228.0,8.14,7.98,Satisfactory
