regn_no,semester,subject_code,credits,grade_point,grade
2211155,1,CE 101,3,6.0,CC
2211155,1,EE 101,4,0.0,F
2211155,1,EE 111,2,8.0,BB
2211155,1,HS 101,3,6.0,CC
2211155,1,HS 111,NA,,NA
2211155,1,MA 101,4,4.0,DD
2211155,1,ME 101,4,0.0,F
2211155,1,PH 101,4,4.0,DD
2211155,1,PH 111,2,8.0,BB
2211156,1,CE 101,3,0.0,F
2211156,1,EE 101,4,0.0,F
2211156,1,EE 111,2,0.0,F
2211156,1,HS 101,NA,,NA
2211156,1,HS 111,NA,,NA
2211156,1,MA 101,4,0.0,F
2211156,1,ME 101,4,0.0,F
2211156,1,PH 101,4,0.0,F
2211156,1,PH 111,NA,,NA
2311001,1,CE 101,3,7.0,BC
2311001,1,EE 101,4,6.0,CC
2311001,1,EE 111,2,10.0,AA
2311001,1,HS 101,3,5.0,CD
2311001,1,HS 111,2,6.0,CC
2311001,1,MA 101,4,6.0,CC
2311001,1,ME 101,4,7.0,BC
2311001,1,PH 101,4,6.0,CC
2311001,1,PH 111,2,10.0,AA
2311002,1,CE 101,3,5.0,CD
2311002,1,EE 101,4,0.0,F
2311002,1,EE 111,2,7.0,BC
2311002,1,HS 101,3,6.0,CC
2311002,1,HS 111,2,6.0,CC
2311002,1,MA 101,4,5.0,CD
2311002,1,ME 101,4,5.0,CD
2311002,1,PH 101,4,4.0,DD
2311002,1,PH 111,2,8.0,BB
2311003,1,CE 101,3,6.0,CC
2311003,1,EE 101,4,5.0,CD
2311003,1,EE 111,2,10.0,AA
2311003,1,HS 101,3,5.0,CD
2311003,1,HS 111,2,6.0,CC
2311003,1,MA 101,4,5.0,CD
2311003,1,ME 101,4,5.0,CD
2311003,1,PH 101,4,4.0,DD
2311003,1,PH 111,2,8.0,BB
2311004,1,CE 101,3,7.0,BC
2311004,1,EE 101,4,5.0,CD
2311004,1,EE 111,2,10.0,AA
2311004,1,HS 101,3,8.0,BB
2311004,1,HS 111,2,6.0,CC
2311004,1,MA 101,4,4.0,DD
2311004,1,ME 101,4,4.0,DD
2311004,1,PH 101,4,4.0,DD
2311004,1,PH 111,2,9.0,AB
2311005,1,CE 101,3,5.0,CD
2311005,1,EE 101,4,5.0,CD
2311005,1,EE 111,2,8.0,BB
2311005,1,HS 101,3,6.0,CC
2311005,1,HS 111,2,6.0,CC
2311005,1,MA 101,4,5.0,CD
2311005,1,ME 101,4,6.0,CC
2311005,1,PH 101,4,5.0,CD
2311005,1,PH 111,2,8.0,BB
2311006,1,CE 101,3,0.0,F
2311006,1,EE 101,4,0.0,F
2311006,1,EE 111,2,0.0,F
2311006,1,HS 101,3,0.0,F
2311006,1,HS 111,2,0.0,F
2311006,1,MA 101,4,0.0,F
2311006,1,ME 101,4,0.0,F
2311006,1,PH 101,4,0.0,F
2311006,1,PH 111,2,0.0,F
2311007,1,CE 101,3,5.0,CD
2311007,1,EE 101,4,6.0,CC
2311007,1,EE 111,2,8.0,BB
2311007,1,HS 101,3,6.0,CC
2311007,1,HS 111,2,6.0,CC
2311007,1,MA 101,4,5.0,CD
2311007,1,ME 101,4,4.0,DD
2311007,1,PH 101,4,5.0,CD
2311007,1,PH 111,2,9.0,AB
2311008,1,CE 101,3,6.0,CC
2311008,1,EE 101,4,6.0,CC
2311008,1,EE 111,2,10.0,AA
2311008,1,HS 101,3,8.0,BB
2311008,1,HS 111,2,6.0,CC
2311008,1,MA 101,4,4.0,DD
2311008,1,ME 101,4,4.0,DD
2311008,1,PH 101,4,5.0,CD
2311008,1,PH 111,2,10.0,AA
2311009,1,CE 101,3,5.0,CD
2311009,1,EE 101,4,6.0,CC
2311009,1,EE 111,2,10.0,AA
2311009,1,HS 101,3,8.0,BB
2311009,1,HS 111,2,6.0,CC
2311009,1,MA 101,4,5.0,CD
2311009,1,ME 101,4,4.0,DD
2311009,1,PH 101,4,5.0,CD
