regn_no,semester,subject_code,credits,grade_point,grade
2311001,2,CE 102,3,7.0,BC
2311001,2,CH 101,4,7.0,BC
2311001,2,CH 111,2,10.0,AA
2311001,2,CS 101,4,7.0,BC
2311001,2,CS 111,2,10.0,AA
2311001,2,EC 101,4,9.0,AB
2311001,2,EC 111,2,9.0,AB
2311001,2,MA 102,4,9.0,AB
2311001,2,ME 111,2,10.0,AA
2311002,2,CE 102,3,5.0,CD
2311002,2,CH 101,4,4.0,DD
2311002,2,CH 111,2,9.0,AB
2311002,2,CS 101,4,4.0,DD
2311002,2,CS 111,2,5.0,CD
2311002,2,EC 101,4,4.0,DD
2311002,2,EC 111,2,7.0,BC
2311002,2,MA 102,4,5.0,CD
2311002,2,ME 111,2,0.0,F
2311003,2,CE 102,3,5.0,CD
2311003,2,CH 101,4,4.0,DD
2311003,2,CH 111,2,8.0,BB
2311003,2,CS 101,4,5.0,CD
2311003,2,CS 111,2,6.0,CC
2311003,2,EC 101,4,5.0,CD
2311003,2,EC 111,2,9.0,AB
2311003,2,MA 102,4,5.0,CD
2311003,2,ME 111,2,6.0,CC
2311004,2,CE 102,3,6.0,CC
2311004,2,CH 101,4,5.0,CD
2311004,2,CH 111,2,9.0,AB
2311004,2,CS 101,4,5.0,CD
2311004,2,CS 111,2,6.0,CC
2311004,2,EC 101,4,5.0,CD
2311004,2,EC 111,2,8.0,BB
2311004,2,MA 102,4,5.0,CD
2311004,2,ME 111,2,9.0,AB
2311005,2,CE 102,3,9.0,AB
2311005,2,CH 101,4,7.0,BC
2311005,2,CH 111,2,10.0,AA
2311005,2,CS 101,4,8.0,BB
2311005,2,CS 111,2,10.0,AA
2311005,2,EC 101,4,7.0,BC
2311005,2,EC 111,2,9.0,AB
2311005,2,MA 102,4,8.0,BB
2311005,2,ME 111,2,8.0,BB
2311006,2,CE 102,3,6.0,CC
2311006,2,CH 101,4,5.0,CD
2311006,2,CH 111,2,9.0,AB
2311006,2,CS 101,4,6.0,CC
2311006,2,CS 111,2,6.0,CC
2311006,2,EC 101,4,4.0,DD
2311006,2,EC 111,2,8.0,BB
2311006,2,MA 102,4,5.0,CD
2311006,2,ME 111,2,7.0,BC
2311007,2,CE 102,3,4.0,DD
2311007,2,CH 101,4,5.0,CD
2311007,2,CH 111,2,8.0,BB
2311007,2,CS 101,4,5.0,CD
2311007,2,CS 111,2,8.0,BB
2311007,2,EC 101,4,4.0,DD
2311007,2,EC 111,2,8.0,BB
2311007,2,MA 102,4,7.0,BC
2311007,2,ME 111,2,10.0,AA
2311008,2,CE 102,3,7.0,BC
2311008,2,CH 101,4,5.0,CD
2311008,2,CH 111,2,10.0,AA
2311008,2,CS 101,4,5.0,CD
2311008,2,CS 111,2,8.0,BB
2311008,2,EC 101,4,5.0,CD
2311008,2,EC 111,2,8.0,BB
2311008,2,MA 102,4,7.0,BC
2311008,2,ME 111,2,6.0,CC
